country,field,num_articles,num_citations
Equatorial Guinea,Computer Vision,4,9
Cape Verde,Computer Vision,4,16
Burkina Faso,Large language models,4,2
Afghanistan,Large language models,4,7
Albania,Large language models,4,8
Congo,Large language models,4,8
Barbados,Large language models,4,2
Tanzania,Large language models,4,53
Jamaica,Natural Language Processing,4,22
El Salvador,Natural Language Processing,4,3
Timor-Leste,Natural Language Processing,4,23
Burundi,Natural Language Processing,4,46
Mozambique,Natural Language Processing,4,40
Tajikistan,Robotics,4,8
Mozambique,Robotics,4,25
Dominican Republic,Robotics,4,0
Vatican City,Robotics,4,52
Saint Kitts and Nevis,Robotics,4,5
Congo,Robotics,4,25
Armenia,AI Safety,5,4
Tanzania,AI Safety,5,43
Afghanistan,AI Safety,5,113
Tonga,All,5,70
Andorra,All,5,92
Togo,Computer Vision,5,129
Sierra Leone,Computer Vision,5,120
Barbados,Computer Vision,5,118
Georgia,Large language models,5,21
Montenegro,Large language models,5,38
Mauritius,Large language models,5,12
Belarus,Large language models,5,81
Maldives,Natural Language Processing,5,171
Barbados,Natural Language Processing,5,64
Monaco,Robotics,5,141
Jamaica,Robotics,5,0
Fiji,AI Safety,6,82
Botswana,AI Safety,6,62
Mauritania,Computer Vision,6,25
Mali,Computer Vision,6,435
Saint Kitts and Nevis,Computer Vision,6,26
Eritrea,Computer Vision,6,57
Mongolia,Large language models,6,14
Senegal,Large language models,6,58
Dominican Republic,Natural Language Processing,6,73
Somalia,Natural Language Processing,6,132
Trinidad and Tobago,Natural Language Processing,6,14
Turkmenistan,Robotics,6,0
Nepal,AI Safety,7,46
Senegal,AI Safety,7,16
Uruguay,AI Safety,7,16
Gambia,Computer Vision,7,72
Niger,Computer Vision,7,31
Burundi,Computer Vision,7,470
Haiti,Computer Vision,7,16
Bhutan,Computer Vision,7,205
Botswana,Large language models,7,44
Cuba,Large language models,7,327
Fiji,Natural Language Processing,7,150
Madagascar,Natural Language Processing,7,40
Angola,Natural Language Processing,7,103
Cuba,AI Safety,8,178
Syria,AI Safety,8,3
Latvia,AI Safety,8,134
Vatican City,All,8,103
Chad,Computer Vision,8,16
Maldives,Computer Vision,8,29
Timor-Leste,Computer Vision,8,139
Libya,Large language models,8,41
Congo,Natural Language Processing,8,17
Saint Lucia,Natural Language Processing,8,89
Bhutan,Natural Language Processing,8,13
Liechtenstein,Natural Language Processing,8,152
Benin,Robotics,8,16
Congo,Robotics,8,17
Nicaragua,Robotics,8,27
Iceland,AI Safety,9,189
Ethiopia,AI Safety,9,22
Turkmenistan,All,9,17
Cape Verde,All,9,33
Antigua and Barbuda,All,9,92
Guinea,All,9,41
Congo,Computer Vision,9,131
Saint Lucia,Large language models,9,31
Sudan,Large language models,9,46
Bosnia and Herzegovina,Large language models,9,90
Panama,Natural Language Processing,9,66
Paraguay,Natural Language Processing,9,7
Namibia,Natural Language Processing,9,655
Namibia,Robotics,9,86
Bosnia and Herzegovina,AI Safety,10,9
Yemen,AI Safety,10,667
Azerbaijan,AI Safety,10,40
Dominica,All,10,64
San Marino,All,10,54
Rwanda,Large language models,10,191
Brunei Darussalam,Large language models,10,79
Papua New Guinea,Natural Language Processing,10,130
Cameroon,AI Safety,11,40
Peru,AI Safety,11,30
Belize,All,11,95
Jamaica,Computer Vision,11,74
Cameroon,Large language models,11,167
Costa Rica,Large language models,11,18
Malawi,Natural Language Processing,11,227
North Korea,Robotics,11,96
Moldova,Robotics,11,21
Papua New Guinea,Robotics,11,243
Lesotho,All,12,108
Laos,Computer Vision,12,213
Zambia,Natural Language Processing,12,396
Zimbabwe,Natural Language Processing,12,50
Barbados,Robotics,12,48
Kyrgyzstan,Robotics,12,7
Uganda,AI Safety,13,45
North Macedonia,AI Safety,13,226
Monaco,All,13,439
Bahamas,All,13,193
Liechtenstein,Computer Vision,13,286
Azerbaijan,Large language models,13,155
Cambodia,Large language models,13,48
Bahrain,Large language models,13,32
Senegal,Robotics,13,32
Afghanistan,Robotics,13,258
Kenya,AI Safety,15,91
Lithuania,AI Safety,15,188
Haiti,All,15,207
Comoros,All,15,140
Honduras,Natural Language Processing,15,32
Georgia,Robotics,15,73
Ghana,AI Safety,17,460
Eritrea,All,17,127
Dominican Republic,Computer Vision,17,89
Côte d'Ivoire,Natural Language Processing,17,221
Burkina Faso,Natural Language Processing,17,64
Tanzania,Robotics,17,196
Trinidad and Tobago,Robotics,17,70
Cambodia,Robotics,17,126
Guatemala,Computer Vision,19,271
Somalia,Computer Vision,19,208
Bolivia,Computer Vision,19,125
Gabon,Computer Vision,19,497
Rwanda,Natural Language Processing,19,285
Albania,Robotics,19,184
Grenada,Robotics,19,243
Kuwait,AI Safety,20,237
Papua New Guinea,Computer Vision,20,198
Mozambique,Computer Vision,20,318
Bolivia,Robotics,20,215
Montenegro,Robotics,20,145
Uzbekistan,AI Safety,21,86
Bahrain,AI Safety,21,39
Saint Kitts and Nevis,All,21,130
El Salvador,Computer Vision,21,111
Uganda,Robotics,21,258
Niger,All,22,111
Guyana,All,22,50
Sierra Leone,All,22,264
Afghanistan,Natural Language Processing,22,155
Moldova,Natural Language Processing,22,219
Kyrgyzstan,Natural Language Processing,22,38
Congo,All,25,247
Chad,All,25,115
Timor-Leste,All,25,271
Saint Lucia,Computer Vision,25,78
Madagascar,Computer Vision,25,668
Rwanda,Robotics,25,313
Mongolia,Robotics,25,213
Liberia,All,27,191
North Korea,Computer Vision,27,113
Zimbabwe,Computer Vision,27,137
Namibia,Computer Vision,27,366
Cambodia,Natural Language Processing,27,498
Ecuador,AI Safety,33,195
Mauritania,All,33,125
Kosovo,Computer Vision,33,151
Georgia,Computer Vision,33,352
Malta,Large language models,33,893
Botswana,Robotics,33,369
Slovakia,AI Safety,35,745
Burundi,All,35,1001
Montenegro,Natural Language Processing,35,100
Armenia,Robotics,35,251
Guatemala,Robotics,35,388
Croatia,AI Safety,40,1273
Tajikistan,All,40,241
Swaziland,All,40,910
Kyrgyzstan,Computer Vision,40,437
Ecuador,Large language models,40,374
Kosovo,Natural Language Processing,40,414
Ghana,Robotics,40,547
Paraguay,Robotics,40,488
Colombia,AI Safety,65,1991
Dominican Republic,All,65,672
Albania,Computer Vision,65,452
Benin,Computer Vision,65,374
Nigeria,Large language models,65,1130
Cyprus,AI Safety,76,997
Hungary,AI Safety,76,656
Thailand,AI Safety,76,337
Bahrain,Natural Language Processing,76,865
Libya,Robotics,76,440
