country,field,year,num_patent_granted,complete
Poland,Energy Management,2017,0,True
Netherlands,Energy Management,2018,0,True
South Korea,Energy Management,2015,26,True
United States,Energy Management,2016,96,True
Norway,Energy Management,2022,2,False
Greece,Energy Management,2018,0,True
Bulgaria,Energy Management,2022,0,False
Portugal,Industry and Manufacturing,2020,0,False
Singapore,Industry and Manufacturing,2020,0,False
Poland,Industry and Manufacturing,2022,1,False
Australia,Industry and Manufacturing,2016,16,True
European Patent Organization,Industry and Manufacturing,2015,1,True
Sweden,Industry and Manufacturing,2020,4,False
Lithuania,Industry and Manufacturing,2017,1,True
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2023,0,False
South Korea,Industry and Manufacturing,2016,51,True
South Korea,Industry and Manufacturing,2018,215,True
Israel,Life Sciences,2020,3,False
Malaysia,Life Sciences,2015,3,True
China (mainland),Life Sciences,2016,379,True
Bulgaria,Life Sciences,2020,0,False
Ireland,Life Sciences,2022,0,False
Spain,Life Sciences,2018,30,True
Poland,Life Sciences,2019,6,False
Peru,Life Sciences,2020,1,False
China (mainland),Personal Devices and Computing,2017,3781,True
China (mainland),Personal Devices and Computing,2019,12035,False
Netherlands,Personal Devices and Computing,2020,7,False
Ukraine,Personal Devices and Computing,2021,0,False
Ukraine,Personal Devices and Computing,2023,0,False
Eurasian Patent Organization,Personal Devices and Computing,2017,1,True
Philippines,Personal Devices and Computing,2016,1,True
India,Personal Devices and Computing,2020,1,False
Canada,Personal Devices and Computing,2022,7,False
New Zealand,Personal Devices and Computing,2021,0,False
France,Physical Sciences and Engineering,2016,3,True
Japan,Physical Sciences and Engineering,2024,0,False
Italy,Physical Sciences and Engineering,2016,1,True
Spain,Physical Sciences and Engineering,2015,1,True
Norway,Physical Sciences and Engineering,2017,0,True
Belgium,Security,2017,0,True
Morocco,Security,2017,0,True
Ukraine,Security,2016,0,True
Bulgaria,Security,2020,0,False
Italy,Security,2017,0,True
Austria,Telecommunications,2016,2,True
Hungary,Telecommunications,2017,3,True
World Intellectual Property Organization (WIPO),Telecommunications,2023,1,False
United Kingdom,Telecommunications,2021,34,False
Mexico,Telecommunications,2018,9,True
Slovenia,Telecommunications,2016,2,True
Philippines,Telecommunications,2019,1,False
Singapore,Telecommunications,2016,12,True
Singapore,Telecommunications,2020,5,False
Argentina,Telecommunications,2020,1,False
Saudi Arabia,Telecommunications,2021,0,False
Portugal,Telecommunications,2021,3,False
Peru,Transportation,2015,0,True
South Korea,Transportation,2019,466,False
Romania,Transportation,2018,0,True
Morocco,Transportation,2017,1,True
Taiwan,Transportation,2024,0,False
Slovakia,Transportation,2015,0,True
Sweden,Agriculture,2019,1,False
Sweden,Agriculture,2022,0,False
Luxembourg,Agriculture,2017,0,True
Japan,Agriculture,2020,28,False
Morocco,Agriculture,2015,0,True
Taiwan,Agriculture,2015,0,True
Austria,Agriculture,2018,0,True
Poland,All,2015,13,True
United Kingdom,All,2022,145,False
Brazil,All,2016,67,True
Romania,All,2017,1,True
Slovenia,All,2022,1,False
Denmark,All,2018,25,True
Australia,All,2022,64,False
Lithuania,All,2019,2,False
Japan,All,2019,3560,False
Portugal,All,2018,11,True
Croatia,Banking and Finance,2018,0,True
China (mainland),Banking and Finance,2023,339,False
Denmark,Banking and Finance,2018,1,True
Malaysia,Banking and Finance,2018,3,True
Eurasian Patent Organization,Banking and Finance,2017,0,True
India,Banking and Finance,2018,4,True
Taiwan,Banking and Finance,2021,2,False
South Africa,Banking and Finance,2022,0,False
Lithuania,Banking and Finance,2015,1,True
Peru,Banking and Finance,2015,0,True
Czechia,Banking and Finance,2017,0,True
Japan,Business,2018,227,True
South Korea,Business,2024,2,False
Ireland,Business,2022,0,False
Austria,Business,2023,0,False
Slovakia,Business,2015,0,True
Taiwan,Business,2015,3,True
Canada,Business,2016,59,True
Canada,Business,2017,40,True
Lithuania,Business,2020,0,False
United States,Business,2021,826,False
Uruguay,Energy Management,2020,0,False
South Korea,Energy Management,2020,307,False
European Patent Organization,Energy Management,2016,0,True
Argentina,Energy Management,2019,0,False
United States,Energy Management,2020,194,False
Israel,Energy Management,2015,0,True
Israel,Energy Management,2017,0,True
Taiwan,Energy Management,2019,4,False
Slovakia,Energy Management,2023,0,False
Australia,Industry and Manufacturing,2022,4,False
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2016,1,True
Norway,Industry and Manufacturing,2021,1,False
Denmark,Industry and Manufacturing,2016,2,True
Netherlands,Life Sciences,2022,11,False
Morocco,Life Sciences,2020,0,False
Canada,Life Sciences,2019,189,False
Eurasian Patent Organization,Life Sciences,2017,2,True
China (mainland),Life Sciences,2021,3043,False
Taiwan,Life Sciences,2020,66,False
Singapore,Life Sciences,2018,41,True
Japan,Life Sciences,2020,513,False
Japan,Life Sciences,2024,0,False
India,Life Sciences,2020,0,False
Costa Rica,Life Sciences,2020,0,False
China (mainland),Personal Devices and Computing,2021,30444,False
Lithuania,Personal Devices and Computing,2018,3,True
Romania,Personal Devices and Computing,2019,0,False
Denmark,Personal Devices and Computing,2016,2,True
Denmark,Personal Devices and Computing,2020,6,False
New Zealand,Personal Devices and Computing,2020,3,False
Ukraine,Physical Sciences and Engineering,2016,0,True
Hungary,Physical Sciences and Engineering,2018,0,True
Australia,Physical Sciences and Engineering,2017,15,True
Argentina,Physical Sciences and Engineering,2022,2,False
Singapore,Physical Sciences and Engineering,2017,4,True
South Korea,Physical Sciences and Engineering,2016,35,True
Poland,Physical Sciences and Engineering,2015,0,True
Taiwan,Physical Sciences and Engineering,2017,2,True
Portugal,Physical Sciences and Engineering,2015,0,True
Philippines,Physical Sciences and Engineering,2019,1,False
European Patent Organization,Security,2016,7,True
Belgium,Security,2016,0,True
India,Security,2015,2,True
Denmark,Security,2020,2,False
Malaysia,Security,2017,0,True
Malaysia,Security,2018,3,True
World Intellectual Property Organization (WIPO),Telecommunications,2017,3,True
Chile,Telecommunications,2015,1,True
Spain,Telecommunications,2022,4,False
India,Telecommunications,2016,24,True
Portugal,Telecommunications,2017,3,True
Argentina,Transportation,2017,0,True
South Korea,Transportation,2018,255,True
Poland,Transportation,2022,0,False
Romania,Transportation,2016,0,True
Australia,Transportation,2017,26,True
Spain,Transportation,2018,21,True
Norway,Transportation,2022,2,False
Israel,Transportation,2019,3,False
Hungary,Transportation,2019,0,False
Japan,Transportation,2015,136,True
Argentina,Agriculture,2018,4,True
Singapore,Agriculture,2016,0,True
Singapore,Agriculture,2018,0,True
Ukraine,Agriculture,2017,0,True
Greece,Agriculture,2019,0,False
Australia,Agriculture,2019,21,False
United States,Agriculture,2023,6,False
European Patent Organization,Agriculture,2018,4,True
Hungary,Agriculture,2015,0,True
Latvia,Agriculture,2020,0,False
European Patent Organization,All,2019,591,False
Finland,All,2016,8,True
New Zealand,All,2015,11,True
New Zealand,All,2019,11,False
Austria,All,2015,2,True
Slovakia,All,2015,2,True
Czechia,All,2021,2,False
China (mainland),All,2016,4742,True
China (mainland),All,2021,51180,False
Argentina,All,2019,7,False
South Korea,All,2016,910,True
Netherlands,Banking and Finance,2020,1,False
World Intellectual Property Organization (WIPO),Banking and Finance,2016,0,True
Singapore,Banking and Finance,2016,5,True
Romania,Banking and Finance,2018,0,True
South Africa,Banking and Finance,2023,0,False
United Kingdom,Banking and Finance,2017,6,True
Finland,Banking and Finance,2016,0,True
Luxembourg,Banking and Finance,2018,0,True
Poland,Business,2019,3,False
Norway,Business,2019,2,False
International Bureau of WIPO,Business,2016,1,True
Peru,Business,2022,1,False
Austria,Business,2016,0,True
Singapore,Business,2019,17,False
Bulgaria,Business,2023,0,False
France,Business,2015,1,True
Poland,Energy Management,2020,3,False
Canada,Energy Management,2017,12,True
Switzerland,Energy Management,2016,1,True
Spain,Energy Management,2017,3,True
Israel,Energy Management,2022,0,False
Luxembourg,Energy Management,2020,0,False
Turkey,Industry and Manufacturing,2017,1,True
Philippines,Industry and Manufacturing,2016,0,True
Taiwan,Industry and Manufacturing,2018,19,True
European Patent Organization,Industry and Manufacturing,2019,58,False
China (mainland),Industry and Manufacturing,2018,661,True
France,Industry and Manufacturing,2020,12,False
Denmark,Industry and Manufacturing,2022,1,False
United Kingdom,Life Sciences,2016,17,True
Australia,Life Sciences,2021,274,False
Australia,Life Sciences,2023,2,False
Luxembourg,Life Sciences,2018,3,True
European Patent Organization,Life Sciences,2021,119,False
Turkey,Life Sciences,2015,0,True
Croatia,Life Sciences,2019,0,False
New Zealand,Life Sciences,2016,3,True
Peru,Life Sciences,2018,2,True
World Intellectual Property Organization (WIPO),Life Sciences,2021,14,False
Austria,Personal Devices and Computing,2022,1,False
Sweden,Personal Devices and Computing,2018,5,True
United States,Personal Devices and Computing,2018,6725,True
Poland,Personal Devices and Computing,2018,7,True
Switzerland,Personal Devices and Computing,2021,0,False
Australia,Personal Devices and Computing,2016,110,True
Belgium,Personal Devices and Computing,2017,0,True
Mexico,Physical Sciences and Engineering,2016,1,True
Brazil,Physical Sciences and Engineering,2022,0,False
Slovenia,Physical Sciences and Engineering,2016,0,True
International Bureau of WIPO,Physical Sciences and Engineering,2018,0,True
Ireland,Physical Sciences and Engineering,2022,0,False
Argentina,Physical Sciences and Engineering,2017,1,True
Czechia,Physical Sciences and Engineering,2017,0,True
Czechia,Physical Sciences and Engineering,2021,0,False
Lithuania,Physical Sciences and Engineering,2016,0,True
Luxembourg,Physical Sciences and Engineering,2016,0,True
Spain,Security,2022,2,False
Ireland,Security,2018,0,True
International Bureau of WIPO,Security,2017,0,True
United States,Security,2023,35,False
China (mainland),Security,2020,1345,False
European Patent Organization,Telecommunications,2018,87,True
Australia,Telecommunications,2023,2,False
Sweden,Telecommunications,2021,3,False
South Africa,Telecommunications,2017,0,True
Singapore,Telecommunications,2019,22,False
China (mainland),Telecommunications,2016,464,True
Saudi Arabia,Telecommunications,2022,0,False
Austria,Transportation,2022,1,False
Brazil,Transportation,2021,2,False
India,Transportation,2016,4,True
Netherlands,Transportation,2024,0,False
Turkey,Transportation,2015,1,True
European Patent Organization,Transportation,2016,14,True
Czechia,Transportation,2021,0,False
Lithuania,Transportation,2016,0,True
Croatia,Transportation,2018,0,True
Croatia,Agriculture,2015,0,True
Ukraine,Agriculture,2019,0,False
Australia,Agriculture,2023,0,False
Switzerland,Agriculture,2017,0,True
Germany,Agriculture,2017,3,True
Austria,Agriculture,2019,0,False
Estonia,All,2022,1,False
Latvia,All,2020,1,False
New Zealand,All,2018,13,True
New Zealand,All,2020,6,False
Taiwan,All,2018,311,True
Serbia,All,2015,1,True
Greece,Banking and Finance,2015,0,True
Belgium,Banking and Finance,2017,0,True
India,Banking and Finance,2017,11,True
India,Banking and Finance,2021,0,False
Mexico,Banking and Finance,2015,1,True
South Korea,Banking and Finance,2017,54,True
Spain,Banking and Finance,2017,2,True
France,Banking and Finance,2016,3,True
New Zealand,Banking and Finance,2018,0,True
New Zealand,Banking and Finance,2019,0,False
Czechia,Banking and Finance,2021,0,False
Norway,Banking and Finance,2018,1,True
Poland,Banking and Finance,2017,1,True
Poland,Banking and Finance,2020,2,False
South Korea,Business,2015,20,True
Israel,Business,2021,1,False
India,Business,2016,24,True
Romania,Business,2019,0,False
Belgium,Energy Management,2023,0,False
Malaysia,Energy Management,2015,0,True
New Zealand,Energy Management,2015,1,True
United Kingdom,Energy Management,2018,8,True
Romania,Industry and Manufacturing,2023,0,False
Italy,Industry and Manufacturing,2022,0,False
Ireland,Industry and Manufacturing,2016,0,True
Cuba,Industry and Manufacturing,2020,1,False
South Africa,Industry and Manufacturing,2021,0,False
Costa Rica,Industry and Manufacturing,2020,1,False
United States,Life Sciences,2017,1049,True
Taiwan,Life Sciences,2018,44,True
Japan,Life Sciences,2019,630,False
India,Life Sciences,2018,21,True
Finland,Life Sciences,2021,1,False
Germany,Life Sciences,2017,30,True
Denmark,Life Sciences,2015,10,True
Greece,Personal Devices and Computing,2021,2,False
Cuba,Personal Devices and Computing,2020,0,False
France,Personal Devices and Computing,2019,74,False
Taiwan,Personal Devices and Computing,2017,63,True
Czechia,Personal Devices and Computing,2017,0,True
Italy,Personal Devices and Computing,2015,2,True
Portugal,Personal Devices and Computing,2022,0,False
Belgium,Personal Devices and Computing,2020,1,False
European Patent Organization,Personal Devices and Computing,2018,202,True
New Zealand,Personal Devices and Computing,2016,0,True
New Zealand,Personal Devices and Computing,2019,3,False
Slovenia,Physical Sciences and Engineering,2022,0,False
Israel,Physical Sciences and Engineering,2016,0,True
France,Physical Sciences and Engineering,2015,3,True
Greece,Physical Sciences and Engineering,2018,0,True
Greece,Physical Sciences and Engineering,2022,0,False
Spain,Physical Sciences and Engineering,2023,0,False
Turkey,Physical Sciences and Engineering,2018,0,True
Spain,Security,2017,1,True
International Bureau of WIPO,Security,2016,0,True
Portugal,Security,2017,0,True
Israel,Security,2018,0,True
Israel,Security,2020,9,False
Germany,Security,2020,20,False
Romania,Telecommunications,2023,0,False
Norway,Telecommunications,2019,1,False
Finland,Telecommunications,2020,19,False
Lithuania,Telecommunications,2020,1,False
Poland,Telecommunications,2016,2,True
Poland,Telecommunications,2019,13,False
Luxembourg,Telecommunications,2018,1,True
Malaysia,Telecommunications,2016,4,True
Malaysia,Telecommunications,2022,0,False
India,Telecommunications,2017,39,True
India,Telecommunications,2019,1,False
Belgium,Telecommunications,2020,0,False
Morocco,Telecommunications,2020,1,False
Germany,Telecommunications,2021,45,False
Russia,Telecommunications,2020,23,False
Italy,Transportation,2020,4,False
Sweden,Transportation,2020,1,False
Russia,Transportation,2016,15,True
Estonia,Transportation,2022,0,False
United Kingdom,Transportation,2020,22,False
China (mainland),Transportation,2018,866,True
United States,Transportation,2016,713,True
Lithuania,Transportation,2018,0,True
United Kingdom,Agriculture,2016,2,True
Czechia,Agriculture,2022,0,False
Portugal,Agriculture,2018,1,True
Malaysia,Agriculture,2022,0,False
Norway,Agriculture,2021,1,False
Russia,Agriculture,2016,0,True
Eurasian Patent Organization,Agriculture,2017,0,True
Australia,Agriculture,2020,40,False
Peru,Agriculture,2021,0,False
Peru,Agriculture,2023,0,False
United States,Agriculture,2019,124,False
Hungary,Agriculture,2022,0,False
Ireland,All,2022,1,False
International Bureau of WIPO,All,2015,3,True
Greece,All,2021,6,False
Australia,All,2015,108,True
New Zealand,All,2021,3,False
Japan,All,2016,1188,True
Italy,All,2018,19,True
Hungary,All,2022,6,False
Taiwan,All,2023,121,False
World Intellectual Property Organization (WIPO),Banking and Finance,2023,0,False
Croatia,Banking and Finance,2019,0,False
Italy,Banking and Finance,2017,0,True
Ukraine,Banking and Finance,2015,0,True
Ukraine,Banking and Finance,2017,0,True
Israel,Banking and Finance,2017,1,True
Serbia,Banking and Finance,2018,0,True
Slovakia,Banking and Finance,2021,0,False
Japan,Business,2021,163,False
Norway,Business,2021,0,False
Greece,Business,2023,0,False
Ukraine,Business,2022,0,False
United Kingdom,Business,2024,1,False
Chile,Energy Management,2018,0,True
Canada,Energy Management,2016,7,True
South Korea,Energy Management,2019,303,False
European Patent Organization,Energy Management,2023,1,False
Germany,Energy Management,2022,16,False
Mexico,Energy Management,2022,1,False
Slovenia,Energy Management,2022,0,False
Slovakia,Energy Management,2015,0,True
Romania,Industry and Manufacturing,2015,0,True
Philippines,Industry and Manufacturing,2017,0,True
Taiwan,Industry and Manufacturing,2021,19,False
United States,Industry and Manufacturing,2023,10,False
China (mainland),Industry and Manufacturing,2024,1066,False
Mexico,Industry and Manufacturing,2015,2,True
Luxembourg,Industry and Manufacturing,2022,4,False
Czechia,Industry and Manufacturing,2021,0,False
Netherlands,Life Sciences,2017,3,True
China (mainland),Life Sciences,2017,570,True
United States,Life Sciences,2020,1341,False
United States,Life Sciences,2024,1,False
Taiwan,Life Sciences,2017,23,True
Portugal,Life Sciences,2020,3,False
Hungary,Life Sciences,2021,1,False
Greece,Personal Devices and Computing,2016,2,True
Serbia,Personal Devices and Computing,2018,0,True
Czechia,Personal Devices and Computing,2020,1,False
Eurasian Patent Organization,Personal Devices and Computing,2018,4,True
Philippines,Personal Devices and Computing,2015,1,True
Morocco,Personal Devices and Computing,2020,1,False
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2020,47,False
Poland,Personal Devices and Computing,2016,4,True
Brazil,Personal Devices and Computing,2021,14,False
Denmark,Personal Devices and Computing,2017,10,True
Portugal,Personal Devices and Computing,2021,2,False
Belgium,Personal Devices and Computing,2021,0,False
Netherlands,Physical Sciences and Engineering,2024,0,False
Belgium,Physical Sciences and Engineering,2018,1,True
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2017,0,True
Finland,Physical Sciences and Engineering,2018,3,True
Canada,Physical Sciences and Engineering,2022,2,False
Austria,Physical Sciences and Engineering,2020,4,False
South Korea,Physical Sciences and Engineering,2024,0,False
Morocco,Physical Sciences and Engineering,2018,1,True
Morocco,Physical Sciences and Engineering,2019,1,False
Morocco,Physical Sciences and Engineering,2021,0,False
Mexico,Security,2021,2,False
Singapore,Security,2020,4,False
World Intellectual Property Organization (WIPO),Security,2017,0,True
World Intellectual Property Organization (WIPO),Security,2018,1,True
Ireland,Security,2022,0,False
Taiwan,Security,2023,0,False
Austria,Security,2020,0,False
Turkey,Security,2015,0,True
European Patent Organization,Telecommunications,2020,130,False
Czechia,Telecommunications,2018,0,True
Austria,Telecommunications,2020,0,False
Norway,Telecommunications,2021,2,False
Australia,Telecommunications,2016,53,True
France,Telecommunications,2019,41,False
Hungary,Telecommunications,2016,2,True
Netherlands,Telecommunications,2024,1,False
Lithuania,Telecommunications,2015,0,True
South Korea,Telecommunications,2023,59,False
Spain,Telecommunications,2019,27,False
Portugal,Telecommunications,2018,1,True
Brazil,Transportation,2019,11,False
Netherlands,Transportation,2021,2,False
South Africa,Transportation,2021,0,False
Taiwan,Transportation,2021,4,False
Greece,Transportation,2018,0,True
Greece,Transportation,2020,0,False
Denmark,Agriculture,2016,1,True
Indonesia,Agriculture,2016,0,True
Turkey,Agriculture,2017,0,True
Greece,Agriculture,2023,0,False
Australia,Agriculture,2016,8,True
Israel,Agriculture,2016,0,True
Israel,Agriculture,2019,0,False
Poland,All,2022,7,False
Ukraine,All,2021,6,False
Canada,All,2019,529,False
Brazil,All,2018,123,True
Denmark,All,2021,6,False
Lithuania,All,2015,4,True
Indonesia,All,2016,1,True
France,All,2016,53,True
Netherlands,Banking and Finance,2015,0,True
United States,Banking and Finance,2022,131,False
Greece,Banking and Finance,2021,0,False
Malaysia,Banking and Finance,2017,1,True
Russia,Banking and Finance,2018,5,True
Belgium,Banking and Finance,2016,0,True
Romania,Banking and Finance,2019,0,False
Romania,Banking and Finance,2021,0,False
Peru,Banking and Finance,2018,0,True
Peru,Banking and Finance,2021,1,False
Czechia,Banking and Finance,2019,0,False
Japan,Banking and Finance,2018,74,True
Brazil,Banking and Finance,2015,1,True
Sweden,Business,2022,0,False
Czechia,Business,2020,1,False
Hungary,Business,2016,2,True
Netherlands,Business,2020,2,False
Spain,Business,2019,5,False
European Patent Organization,Business,2017,18,True
European Patent Organization,Business,2020,36,False
United Kingdom,Business,2021,9,False
Finland,Business,2021,1,False
Australia,Business,2022,4,False
India,Energy Management,2016,2,True
Eurasian Patent Organization,Energy Management,2016,1,True
Japan,Energy Management,2015,50,True
Hungary,Energy Management,2020,2,False
Finland,Industry and Manufacturing,2020,1,False
Japan,Industry and Manufacturing,2017,189,True
India,Industry and Manufacturing,2019,0,False
India,Industry and Manufacturing,2021,0,False
Italy,Industry and Manufacturing,2017,1,True
Saudi Arabia,Industry and Manufacturing,2021,0,False
Taiwan,Industry and Manufacturing,2024,0,False
New Zealand,Industry and Manufacturing,2015,1,True
Hungary,Industry and Manufacturing,2018,1,True
South Africa,Industry and Manufacturing,2022,0,False
Morocco,Industry and Manufacturing,2022,0,False
Slovenia,Industry and Manufacturing,2018,0,True
United Kingdom,Life Sciences,2021,22,False
Israel,Life Sciences,2023,0,False
Colombia,Life Sciences,2019,1,False
Belgium,Life Sciences,2016,0,True
Philippines,Life Sciences,2016,0,True
Singapore,Life Sciences,2019,36,False
Ireland,Life Sciences,2016,1,True
Croatia,Life Sciences,2015,2,True
Switzerland,Life Sciences,2017,1,True
South Korea,Life Sciences,2020,977,False
Peru,Life Sciences,2015,1,True
Germany,Life Sciences,2015,19,True
Germany,Life Sciences,2018,41,True
Greece,Personal Devices and Computing,2019,1,False
Greece,Personal Devices and Computing,2022,6,False
Austria,Personal Devices and Computing,2015,0,True
Chile,Personal Devices and Computing,2018,0,True
Malaysia,Personal Devices and Computing,2019,7,False
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2019,58,False
India,Personal Devices and Computing,2018,127,True
Singapore,Personal Devices and Computing,2019,58,False
Canada,Personal Devices and Computing,2015,68,True
Hungary,Personal Devices and Computing,2016,3,True
Portugal,Personal Devices and Computing,2018,3,True
European Patent Organization,Personal Devices and Computing,2021,200,False
Netherlands,Physical Sciences and Engineering,2021,2,False
France,Physical Sciences and Engineering,2020,13,False
Greece,Physical Sciences and Engineering,2021,2,False
New Zealand,Physical Sciences and Engineering,2018,0,True
Portugal,Physical Sciences and Engineering,2019,1,False
Luxembourg,Security,2017,0,True
Spain,Security,2019,7,False
Switzerland,Security,2018,0,True
Russia,Security,2019,17,False
Singapore,Security,2018,19,True
Philippines,Security,2018,1,True
Peru,Security,2016,0,True
United Kingdom,Security,2017,17,True
South Korea,Security,2018,183,True
Eurasian Patent Organization,Security,2016,1,True
Italy,Security,2023,0,False
San Marino,Telecommunications,2018,1,True
Australia,Telecommunications,2017,48,True
Hungary,Telecommunications,2020,1,False
South Africa,Telecommunications,2021,0,False
Luxembourg,Telecommunications,2022,8,False
Malaysia,Telecommunications,2021,0,False
Jordan,Telecommunications,2021,0,False
United States,Telecommunications,2016,1218,True
United States,Telecommunications,2024,4,False
Russia,Telecommunications,2017,30,True
Singapore,Transportation,2017,7,True
Spain,Transportation,2021,3,False
Morocco,Transportation,2018,0,True
China (mainland),Transportation,2019,1775,False
Norway,Transportation,2017,2,True
New Zealand,Transportation,2018,0,True
Denmark,Transportation,2020,1,False
Germany,Transportation,2015,51,True
Germany,Transportation,2019,137,False
United States,Transportation,2022,244,False
Greece,Transportation,2019,0,False
Turkey,Agriculture,2016,0,True
New Zealand,Agriculture,2017,3,True
Malaysia,Agriculture,2019,0,False
Brazil,Agriculture,2018,17,True
Russia,Agriculture,2015,0,True
Eurasian Patent Organization,Agriculture,2016,0,True
Netherlands,Agriculture,2016,0,True
Italy,Agriculture,2016,1,True
Italy,Agriculture,2020,1,False
South Korea,Agriculture,2017,28,True
Peru,Agriculture,2022,0,False
Japan,Agriculture,2022,14,False
Taiwan,Agriculture,2017,1,True
Kenya,All,2016,1,True
Spain,All,2017,90,True
Finland,All,2022,14,False
Russia,All,2018,196,True
Morocco,All,2022,3,False
Austria,All,2022,4,False
Cuba,All,2020,1,False
France,All,2019,181,False
Norway,All,2022,3,False
United States,All,2021,7696,False
Netherlands,Banking and Finance,2023,0,False
Hungary,Banking and Finance,2016,2,True
Hungary,Banking and Finance,2021,0,False
Morocco,Banking and Finance,2022,0,False
Denmark,Banking and Finance,2022,0,False
Ireland,Banking and Finance,2022,0,False
Slovenia,Banking and Finance,2016,0,True
Lithuania,Banking and Finance,2019,0,False
New Zealand,Banking and Finance,2022,0,False
Peru,Banking and Finance,2020,1,False
Czechia,Banking and Finance,2022,0,False
Argentina,Banking and Finance,2017,0,True
Argentina,Banking and Finance,2018,0,True
Luxembourg,Business,2019,1,False
Netherlands,Business,2022,6,False
Germany,Business,2024,5,False
Romania,Business,2018,0,True
Canada,Business,2020,61,False
Belgium,Energy Management,2017,0,True
Netherlands,Energy Management,2016,0,True
Netherlands,Energy Management,2021,2,False
China (mainland),Energy Management,2022,2485,False
Brazil,Energy Management,2016,1,True
United Kingdom,Energy Management,2020,8,False
Morocco,Energy Management,2022,0,False
Turkey,Industry and Manufacturing,2018,0,True
Japan,Industry and Manufacturing,2019,312,False
Israel,Industry and Manufacturing,2021,0,False
Germany,Industry and Manufacturing,2019,44,False
New Zealand,Industry and Manufacturing,2016,0,True
Lithuania,Industry and Manufacturing,2020,0,False
Croatia,Industry and Manufacturing,2018,0,True
Croatia,Industry and Manufacturing,2019,0,False
Bulgaria,Life Sciences,2017,0,True
Greece,Life Sciences,2015,0,True
Spain,Life Sciences,2023,0,False
Poland,Life Sciences,2023,2,False
Romania,Life Sciences,2017,0,True
World Intellectual Property Organization (WIPO),Life Sciences,2017,3,True
Mexico,Personal Devices and Computing,2022,1,False
Morocco,Personal Devices and Computing,2015,1,True
United States,Personal Devices and Computing,2021,3977,False
Japan,Personal Devices and Computing,2017,802,True
Finland,Personal Devices and Computing,2017,9,True
Australia,Personal Devices and Computing,2021,347,False
Brazil,Personal Devices and Computing,2016,21,True
Portugal,Personal Devices and Computing,2019,4,False
New Zealand,Personal Devices and Computing,2017,8,True
Denmark,Physical Sciences and Engineering,2018,1,True
Chile,Physical Sciences and Engineering,2018,1,True
India,Physical Sciences and Engineering,2020,0,False
Finland,Physical Sciences and Engineering,2019,2,False
Italy,Physical Sciences and Engineering,2015,0,True
Poland,Security,2019,1,False
Canada,Security,2020,29,False
European Patent Organization,Security,2018,20,True
European Patent Organization,Security,2020,30,False
United Kingdom,Security,2024,1,False
Australia,Security,2015,6,True
Romania,Security,2022,0,False
United States,Security,2021,586,False
China (mainland),Security,2024,666,False
Greece,Security,2019,0,False
Czechia,Telecommunications,2023,0,False
Israel,Telecommunications,2023,0,False
Denmark,Telecommunications,2017,7,True
Denmark,Telecommunications,2021,3,False
Netherlands,Telecommunications,2017,0,True
Lithuania,Telecommunications,2017,0,True
Brazil,Telecommunications,2020,16,False
India,Telecommunications,2015,12,True
Canada,Telecommunications,2021,60,False
Philippines,Telecommunications,2018,1,True
Germany,Telecommunications,2024,1,False
Peru,Transportation,2017,0,True
Finland,Transportation,2022,0,False
United Kingdom,Transportation,2022,19,False
Netherlands,Transportation,2015,0,True
United States,Transportation,2020,966,False
Czechia,Agriculture,2020,0,False
Sweden,Agriculture,2015,1,True
Sweden,Agriculture,2018,3,True
Malaysia,Agriculture,2017,1,True
Malaysia,Agriculture,2018,0,True
South Korea,Agriculture,2019,75,False
South Korea,Agriculture,2022,95,False
Luxembourg,All,2016,1,True
Luxembourg,All,2024,7,False
Uruguay,All,2020,1,False
Denmark,All,2016,14,True
Germany,All,2020,497,False
Denmark,Banking and Finance,2019,0,False
Greece,Banking and Finance,2018,0,True
Malaysia,Banking and Finance,2016,0,True
Singapore,Banking and Finance,2020,3,False
Bulgaria,Banking and Finance,2015,0,True
South Africa,Banking and Finance,2020,0,False
Japan,Banking and Finance,2022,20,False
Japan,Banking and Finance,2023,0,False
Serbia,Business,2015,1,True
Ireland,Business,2016,0,True
Netherlands,Business,2017,0,True
Argentina,Business,2018,3,True
Taiwan,Business,2021,15,False
Malaysia,Business,2022,0,False
Lithuania,Business,2019,0,False
International Bureau of WIPO,Energy Management,2018,0,True
Finland,Energy Management,2022,1,False
Turkey,Energy Management,2017,0,True
South Korea,Energy Management,2021,309,False
South Africa,Energy Management,2021,0,False
Mexico,Energy Management,2019,4,False
Hungary,Energy Management,2016,0,True
Italy,Industry and Manufacturing,2015,0,True
Brazil,Industry and Manufacturing,2022,0,False
Germany,Industry and Manufacturing,2024,2,False
United Kingdom,Life Sciences,2018,59,True
Saudi Arabia,Life Sciences,2021,0,False
Mexico,Life Sciences,2017,16,True
Belgium,Life Sciences,2020,2,False
Argentina,Life Sciences,2017,0,True
Portugal,Life Sciences,2016,1,True
Peru,Life Sciences,2023,1,False
Romania,Life Sciences,2022,0,False
Turkey,Personal Devices and Computing,2019,1,False
United Kingdom,Personal Devices and Computing,2024,2,False
China (mainland),Personal Devices and Computing,2020,23849,False
Russia,Personal Devices and Computing,2019,78,False
