country,field,year,estimated_investment,complete
France,Hardware,2022,355,True
Germany,Hardware,2018,649,True
Austria,Hardware,2021,77,True
Turkey,Hardware,2019,2,True
Bulgaria,Hardware,2019,0,True
Serbia,Hardware,2020,0,True
Brazil,Hardware,2019,6,True
China (mainland),Hardware,2020,1299,True
Russia,Hardware,2020,1,True
Chile,Hardware,2016,1,True
Ireland,Hardware,2024,96,True
Slovenia,Hardware,2016,0,True
Hungary,Healthcare and Life Sciences,2022,3,True
Hungary,Healthcare and Life Sciences,2023,6,True
Brazil,Healthcare and Life Sciences,2024,11,True
Finland,Healthcare and Life Sciences,2022,6,True
Ireland,Healthcare and Life Sciences,2018,0,True
Tunisia,Healthcare and Life Sciences,2022,0,True
Nigeria,Healthcare and Life Sciences,2023,0,True
Indonesia,Healthcare and Life Sciences,2021,7,True
Malaysia,Healthcare and Life Sciences,2020,0,True
United States,Healthcare and Life Sciences,2018,2224,True
Israel,Information Technology,2023,548,True
Romania,Information Technology,2025,10,False
Australia,Information Technology,2021,1922,True
France,Information Technology,2024,1994,True
Seychelles,Information Technology,2017,1,True
Iceland,Information Technology,2019,3,True
Georgia,Information Technology,2022,0,True
Switzerland,Information Technology,2020,843,True
Uruguay,Lending and Investments,2020,0,True
Ireland,Lending and Investments,2021,38,True
Czechia,Lending and Investments,2020,1,True
Singapore,Lending and Investments,2019,7,True
India,Lending and Investments,2024,119,True
Taiwan,Manufacturing,2019,4,True
Israel,Manufacturing,2025,106,False
Japan,Manufacturing,2016,16,True
Hungary,Manufacturing,2019,1,True
France,Manufacturing,2022,120,True
Iceland,Manufacturing,2015,0,True
Estonia,Manufacturing,2020,3,True
Poland,Manufacturing,2017,0,True
Canada,Manufacturing,2019,17,True
India,Manufacturing,2020,9,True
Lithuania,Media and Entertainment,2020,0,True
Nigeria,Media and Entertainment,2021,0,True
Czechia,Media and Entertainment,2025,0,False
Italy,Media and Entertainment,2019,1,True
Italy,Media and Entertainment,2022,4,True
Israel,Media and Entertainment,2015,35,True
Israel,Media and Entertainment,2024,28,True
Hungary,Media and Entertainment,2025,0,False
Australia,Media and Entertainment,2016,5,True
Lebanon,Media and Entertainment,2018,0,True
Panama,Media and Entertainment,2025,0,False
Cyprus,Media and Entertainment,2025,0,False
Israel,"Military, public safety and government",2022,3,True
United States,"Military, public safety and government",2015,141,True
Austria,"Military, public safety and government",2019,0,True
China (mainland),"Military, public safety and government",2025,8,False
Chile,"Mobile, platforms & Internet services",2023,0,True
United Kingdom,"Mobile, platforms & Internet services",2020,611,True
Brazil,"Mobile, platforms & Internet services",2022,108,True
South Africa,"Mobile, platforms & Internet services",2025,13,False
Estonia,"Mobile, platforms & Internet services",2023,2,True
United Arab Emirates,"Mobile, platforms & Internet services",2025,592,False
Venezuela,"Mobile, platforms & Internet services",2019,1,True
Peru,"Mobile, platforms & Internet services",2022,3,True
Japan,"Mobile, platforms & Internet services",2023,169,True
Nigeria,"Mobile, platforms & Internet services",2017,0,True
Czechia,"Mobile, platforms & Internet services",2020,21,True
Czechia,"Mobile, platforms & Internet services",2022,39,True
Norway,"Mobile, platforms & Internet services",2025,37,False
Morocco,"Mobile, platforms & Internet services",2022,0,True
Singapore,"Mobile, platforms & Internet services",2021,645,True
Saudi Arabia,NLP,2024,12,True
Denmark,NLP,2016,2,True
Malaysia,NLP,2019,0,True
Japan,NLP,2017,4,True
China (mainland),NLP,2015,63,True
China (mainland),Navigation and mapping,2016,2,True
China (mainland),Navigation and mapping,2017,23,True
China (mainland),Navigation and mapping,2023,5,True
Austria,Navigation and mapping,2017,1,True
United Kingdom,Navigation and mapping,2019,9,True
Sweden,Navigation and mapping,2020,12,True
India,Other,2016,25,True
Israel,Other,2017,25,True
Slovakia,Other,2019,1,True
United States,Other,2024,9684,True
Slovenia,Privacy and Security,2015,0,True
United Kingdom,Privacy and Security,2023,198,True
Saudi Arabia,Privacy and Security,2018,15,True
India,Privacy and Security,2023,47,True
Czechia,Privacy and Security,2017,2,True
Spain,Privacy and Security,2019,2,True
Iceland,Professional services,2021,0,True
Spain,Professional services,2024,97,True
Malta,Professional services,2025,0,False
Canada,Professional services,2016,75,True
Chile,Professional services,2021,0,True
Italy,Professional services,2015,0,True
Italy,Professional services,2016,0,True
Indonesia,Professional services,2018,2,True
Finland,Professional services,2018,384,True
Finland,Professional services,2023,5,True
New Zealand,Professional services,2022,70,True
Argentina,Professional services,2024,1,True
India,Professional services,2017,23,True
Vietnam,Professional services,2018,0,True
Vietnam,Professional services,2022,2,True
Vietnam,Professional services,2025,0,False
Malaysia,Professional services,2018,4,True
Poland,Real estate,2023,0,True
United Kingdom,Real estate,2015,33,True
United Kingdom,Real estate,2019,25,True
Spain,Real estate,2025,20,False
Portugal,Robotics,2015,2,True
Croatia,Robotics,2020,0,True
Poland,Robotics,2025,432,False
Germany,Robotics,2020,19,True
Sweden,Robotics,2018,2,True
Peru,Robotics,2022,0,True
Finland,Robotics,2018,1,True
Sri Lanka,"Sales, retail, commerce, marketing",2023,1,True
Saudi Arabia,"Sales, retail, commerce, marketing",2019,8,True
Malaysia,"Sales, retail, commerce, marketing",2023,58,True
Bulgaria,"Sales, retail, commerce, marketing",2024,3,True
Finland,"Sales, retail, commerce, marketing",2015,109,True
Poland,"Sales, retail, commerce, marketing",2018,9,True
Chile,"Sales, retail, commerce, marketing",2017,1,True
Singapore,"Sales, retail, commerce, marketing",2024,207,True
Australia,"Sales, retail, commerce, marketing",2021,40,True
United Kingdom,Semiconductor,2018,19,True
Slovenia,Software,2018,0,True
Poland,Software,2019,96,True
Romania,Software,2019,4,True
Romania,Software,2022,14,True
Austria,Software,2015,1,True
Austria,Software,2016,4,True
Denmark,Software,2015,8,True
South Africa,Software,2025,77,False
Canada,Software,2019,998,True
Ireland,Software,2022,334,True
New Zealand,Software,2017,1,True
Portugal,Speech Recognition,2023,0,True
Japan,Speech Recognition,2024,1,True
Serbia,Speech Recognition,2022,0,True
United Kingdom,Sports,2015,1,True
Saudi Arabia,Sports,2025,2,False
Poland,Sports,2018,0,True
Egypt,Sports,2020,0,True
United States,Sports,2025,821,False
Japan,Sports,2018,9,True
Italy,Telecommunications,2025,10,False
Nigeria,Telecommunications,2019,0,True
Singapore,Transportation,2022,8,True
Belgium,Transportation,2021,1,True
Italy,Transportation,2016,1,True
Vietnam,Transportation,2019,1,True
Serbia,Transportation,2023,43,True
Canada,Transportation,2019,20,True
United Arab Emirates,Transportation,2023,17,True
Brazil,Transportation,2021,10,True
Spain,Transportation,2022,16,True
Lebanon,Transportation,2019,0,True
South Korea,Transportation,2019,18,True
India,Transportation,2017,7,True
India,Transportation,2023,33,True
Finland,Agriculture,2022,1,True
Thailand,Agriculture,2022,3,True
Australia,Agriculture,2018,2,True
Australia,Agriculture,2019,5,True
Australia,Agriculture,2022,12,True
Chile,Agriculture,2020,0,True
Sweden,Agriculture,2019,2,True
Canada,Agriculture,2018,12,True
Canada,Agriculture,2025,52,False
Estonia,Agriculture,2022,2,True
Venezuela,All,2021,0,True
Albania,All,2020,5,True
Czechia,All,2015,2,True
Sri Lanka,All,2024,11,True
Ukraine,All,2018,0,True
New Zealand,All,2016,150,True
Zambia,All,2022,0,True
Mexico,All,2023,190,True
Oman,All,2024,3,True
Saudi Arabia,All,2025,3803,False
Romania,All,2016,1,True
Romania,All,2020,6,True
Cyprus,All,2016,1,True
Dominican Republic,All,2023,2,True
Norway,All,2017,48,True
Egypt,All,2019,2,True
Turkey,All,2022,62,True
Canada,Biotechnology,2022,1935,True
France,Biotechnology,2022,20,True
Japan,Biotechnology,2022,4,True
Israel,Biotechnology,2025,37,False
Turkey,Biotechnology,2020,0,True
Netherlands,Biotechnology,2019,2,True
Ukraine,Biotechnology,2018,0,True
Israel,Community and Lifestyle,2025,62,False
Canada,Community and Lifestyle,2025,100,False
Japan,Community and Lifestyle,2023,2,True
Ireland,Community and Lifestyle,2019,0,True
South Africa,Community and Lifestyle,2022,0,True
Egypt,Community and Lifestyle,2025,0,False
Austria,Community and Lifestyle,2023,0,True
Israel,Computer Vision,2023,49,True
Switzerland,Computer Vision,2023,141,True
Saudi Arabia,Computer Vision,2019,1,True
China (mainland),Computer Vision,2019,289,True
United States,Computer Vision,2025,16796,False
Norway,Consumer goods,2022,7,True
Netherlands,Consumer goods,2025,201,False
South Korea,Consumer goods,2016,1,True
Mexico,Consumer goods,2019,0,True
New Zealand,Consumer goods,2023,0,True
Canada,Consumer goods,2019,72,True
Estonia,Consumer goods,2024,3,True
India,Consumer goods,2019,21,True
China (mainland),Cyber Security,2025,7,False
Switzerland,Cyber Security,2022,128,True
Poland,Data and analytics,2016,14,True
Poland,Data and analytics,2019,93,True
Poland,Data and analytics,2022,118,True
Latvia,Data and analytics,2019,0,True
Turkey,Data and analytics,2019,3,True
Belgium,Data and analytics,2018,69,True
Tunisia,Data and analytics,2022,2,True
Denmark,Data and analytics,2025,462,False
Portugal,Data and analytics,2020,11,True
Indonesia,Data and analytics,2016,2,True
Cambodia,Data and analytics,2018,0,True
Taiwan,Data and analytics,2016,14,True
Taiwan,Data and analytics,2022,131,True
India,Data and analytics,2020,4836,True
Senegal,Data and analytics,2021,0,True
Hungary,Data and analytics,2017,2,True
Italy,Data and analytics,2015,36,True
Brazil,Education,2018,2,True
Brazil,Education,2019,9,True
Spain,Education,2021,1,True
Cyprus,Education,2019,1,True
China (mainland),Education,2020,1293,True
South Korea,Education,2024,39,True
Estonia,Education,2015,3,True
Canada,Education,2018,6,True
Tunisia,Education,2021,0,True
Ghana,Education,2025,0,False
Italy,Education,2023,3,True
Poland,Energy and natural resources,2019,1,True
Estonia,Energy and natural resources,2020,0,True
India,Energy and natural resources,2016,1,True
Australia,Energy and natural resources,2018,2,True
China (mainland),Energy and natural resources,2021,90,True
China (mainland),Energy and natural resources,2025,89,False
Denmark,Energy and natural resources,2025,6,False
Mexico,Energy and natural resources,2024,0,True
United Kingdom,Energy and natural resources,2024,255,True
Brazil,Energy and natural resources,2022,5,True
Singapore,Energy and natural resources,2019,2,True
Bahrain,Facial Recognition,2021,0,True
Japan,Facial Recognition,2019,4,True
United Kingdom,Facial Recognition,2021,0,True
Vietnam,Finance,2021,6,True
France,Finance,2024,193,True
United Arab Emirates,Finance,2023,175,True
Dominican Republic,Finance,2021,0,True
Ghana,Finance,2022,11,True
Brazil,Finance,2019,23,True
Nigeria,Finance,2025,8,False
Saudi Arabia,Finance,2022,173,True
Singapore,Finance,2021,656,True
Estonia,Finance,2018,2,True
Estonia,Finance,2025,21,False
Israel,Gaming,2018,8,True
India,Gaming,2021,3,True
Brazil,Gaming,2020,0,True
Sweden,Gaming,2020,1,True
Germany,General purpose,2025,13358,False
Ireland,General purpose,2018,136,True
Portugal,General purpose,2018,9,True
Croatia,General purpose,2023,195,True
Slovenia,General purpose,2016,0,True
South Korea,General purpose,2016,59,True
Hungary,General purpose,2020,2,True
Brazil,General purpose,2015,28,True
Luxembourg,General purpose,2018,7,True
Israel,General purpose,2023,1308,True
Saudi Arabia,Hardware,2023,5,True
Australia,Hardware,2025,219,False
Argentina,Hardware,2021,0,True
United Arab Emirates,Hardware,2020,2,True
United Kingdom,Hardware,2021,430,True
Ukraine,Hardware,2024,1,True
India,Hardware,2022,490,True
Norway,Hardware,2021,66,True
South Korea,Hardware,2019,387,True
Denmark,Healthcare and Life Sciences,2022,5,True
Brazil,Healthcare and Life Sciences,2022,37,True
South Korea,Healthcare and Life Sciences,2023,91,True
Turkey,Healthcare and Life Sciences,2020,1,True
Kazakhstan,Healthcare and Life Sciences,2023,0,True
Belgium,Healthcare and Life Sciences,2019,2,True
Russia,Healthcare and Life Sciences,2020,5,True
Ghana,Healthcare and Life Sciences,2021,1,True
Singapore,Healthcare and Life Sciences,2016,2,True
Israel,Healthcare and Life Sciences,2022,183,True
Israel,Healthcare and Life Sciences,2025,287,False
Norway,Healthcare and Life Sciences,2022,8,True
Argentina,Healthcare and Life Sciences,2021,0,True
Czechia,Healthcare and Life Sciences,2021,4,True
Iceland,Healthcare and Life Sciences,2024,2,True
Greece,Information Technology,2021,50,True
Czechia,Information Technology,2020,41,True
Norway,Information Technology,2021,180,True
Qatar,Information Technology,2024,0,True
Japan,Information Technology,2016,670,True
Uruguay,Information Technology,2022,0,True
Nigeria,Information Technology,2021,1,True
Sri Lanka,Information Technology,2018,0,True
Sri Lanka,Information Technology,2019,1,True
Estonia,Information Technology,2015,0,True
Turkey,Information Technology,2017,0,True
Turkey,Information Technology,2018,3,True
Côte d'Ivoire,Information Technology,2024,0,True
Iceland,Information Technology,2021,5,True
Iceland,Information Technology,2024,2,True
Brazil,Information Technology,2021,215,True
Bulgaria,Information Technology,2017,0,True
Argentina,Information Technology,2025,1,False
Spain,Lending and Investments,2024,2,True
Philippines,Lending and Investments,2022,3,True
Bulgaria,Lending and Investments,2022,0,True
Taiwan,Manufacturing,2024,0,True
Ukraine,Manufacturing,2025,1,False
Japan,Manufacturing,2017,21,True
Singapore,Manufacturing,2017,1,True
Norway,Manufacturing,2023,5,True
Turkey,Manufacturing,2020,1,True
United Arab Emirates,Manufacturing,2018,2,True
Finland,Manufacturing,2016,2,True
Australia,Manufacturing,2022,36,True
Armenia,Media and Entertainment,2024,2,True
Denmark,Media and Entertainment,2024,0,True
South Africa,Media and Entertainment,2020,1,True
Finland,Media and Entertainment,2025,1,False
Japan,Media and Entertainment,2025,28,False
Ukraine,Media and Entertainment,2019,0,True
Russia,Media and Entertainment,2021,16,True
Thailand,Media and Entertainment,2015,0,True
Lebanon,Media and Entertainment,2017,0,True
Portugal,Media and Entertainment,2016,0,True
Serbia,Media and Entertainment,2022,4,True
Romania,Media and Entertainment,2024,1,True
Israel,"Military, public safety and government",2018,76,True
United States,"Military, public safety and government",2025,3234,False
Switzerland,"Military, public safety and government",2020,3,True
Ukraine,"Mobile, platforms & Internet services",2019,0,True
Jordan,"Mobile, platforms & Internet services",2016,0,True
South Korea,"Mobile, platforms & Internet services",2021,2051,True
Lithuania,"Mobile, platforms & Internet services",2020,0,True
Taiwan,"Mobile, platforms & Internet services",2020,9,True
Greece,"Mobile, platforms & Internet services",2018,1,True
Switzerland,"Mobile, platforms & Internet services",2024,590,True
Kazakhstan,"Mobile, platforms & Internet services",2020,1,True
Nigeria,"Mobile, platforms & Internet services",2024,1,True
Croatia,"Mobile, platforms & Internet services",2019,0,True
Czechia,"Mobile, platforms & Internet services",2024,19,True
Philippines,"Mobile, platforms & Internet services",2025,8,False
Latvia,"Mobile, platforms & Internet services",2019,0,True
Panama,"Mobile, platforms & Internet services",2023,0,True
Tunisia,"Mobile, platforms & Internet services",2018,1,True
Ireland,"Mobile, platforms & Internet services",2025,154,False
China (mainland),"Mobile, platforms & Internet services",2019,512,True
Singapore,"Mobile, platforms & Internet services",2018,183,True
South Korea,NLP,2020,20,True
Spain,NLP,2015,0,True
Japan,NLP,2019,8,True
Belgium,NLP,2021,0,True
Poland,Navigation and mapping,2021,1,True
Austria,Navigation and mapping,2023,2,True
United States,Navigation and mapping,2018,229,True
United States,Navigation and mapping,2021,1157,True
Singapore,Navigation and mapping,2023,4,True
Japan,Navigation and mapping,2021,2,True
Latvia,Other,2025,0,False
Austria,Other,2018,0,True
India,Other,2017,14,True
Poland,Other,2025,29,False
Estonia,Other,2019,3,True
Belgium,Other,2022,5,True
Canada,Other,2015,11,True
Canada,Other,2017,32,True
Canada,Other,2024,180,True
Cyprus,Other,2021,18,True
United States,Other,2017,1721,True
United States,Other,2023,4202,True
United States,Other,2025,15919,False
Denmark,Other,2021,31,True
New Zealand,Other,2018,3,True
Saint Kitts and Nevis,Other,2021,0,True
Canada,Privacy and Security,2020,90,True
Germany,Privacy and Security,2025,2487,False
Turkey,Privacy and Security,2022,2,True
France,Privacy and Security,2016,1,True
India,Privacy and Security,2016,1,True
Iceland,Professional services,2019,2,True
Israel,Professional services,2015,7,True
Lithuania,Professional services,2020,0,True
Estonia,Professional services,2021,5,True
Colombia,Professional services,2016,0,True
Uruguay,Professional services,2023,1,True
Canada,Professional services,2023,173,True
Chile,Professional services,2024,1,True
Ireland,Professional services,2019,2,True
South Korea,Professional services,2015,0,True
United Arab Emirates,Professional services,2017,1,True
Poland,Professional services,2021,6,True
Portugal,Professional services,2020,0,True
Singapore,Real estate,2025,0,False
Sri Lanka,Real estate,2025,0,False
Vietnam,Real estate,2023,2,True
Germany,Real estate,2020,15,True
United States,Robotics,2024,1988,True
India,Robotics,2023,7,True
Germany,Robotics,2017,17,True
Slovakia,Robotics,2020,0,True
Ukraine,Robotics,2024,1,True
Finland,Robotics,2024,1,True
United States,"Sales, retail, commerce, marketing",2016,2339,True
United States,"Sales, retail, commerce, marketing",2017,3584,True
Saudi Arabia,"Sales, retail, commerce, marketing",2025,739,False
Hungary,"Sales, retail, commerce, marketing",2020,1,True
Taiwan,"Sales, retail, commerce, marketing",2016,3,True
Lithuania,"Sales, retail, commerce, marketing",2017,0,True
Norway,"Sales, retail, commerce, marketing",2020,10,True
Ireland,"Sales, retail, commerce, marketing",2025,59,False
El Salvador,"Sales, retail, commerce, marketing",2025,1,False
Germany,"Sales, retail, commerce, marketing",2023,440,True
Poland,"Sales, retail, commerce, marketing",2024,4,True
France,Semiconductor,2022,5,True
United Kingdom,Semiconductor,2024,227,True
United States,Simulation,2020,383,True
Russia,Software,2015,2,True
Armenia,Software,2025,0,False
Greece,Software,2015,0,True
Greece,Software,2024,60,True
Spain,Software,2018,121,True
Italy,Software,2016,13,True
Singapore,Software,2022,3070,True
Germany,Software,2020,2204,True
South Korea,Software,2023,1740,True
Seychelles,Software,2016,0,True
Ghana,Software,2016,3,True
Uruguay,Software,2025,3,False
Georgia,Software,2024,0,True
Panama,Software,2025,15,False
Serbia,Software,2018,0,True
Switzerland,Software,2016,354,True
Kazakhstan,Software,2023,3,True
Slovakia,Software,2023,22,True
Pakistan,Software,2017,0,True
New Zealand,Software,2018,93,True
China (mainland),Speech Recognition,2022,72,True
Ireland,Speech Recognition,2017,1,True
Thailand,Speech Recognition,2022,0,True
Hungary,Sports,2020,1,True
South Korea,Sports,2019,1,True
China (mainland),Sports,2022,6,True
China (mainland),Sports,2023,42,True
Australia,Sports,2025,0,False
Brazil,Sports,2024,0,True
Netherlands,Sports,2024,156,True
Japan,Sports,2023,1,True
Canada,Sports,2024,4,True
Italy,Telecommunications,2024,3,True
China (mainland),Telecommunications,2021,16,True
United States,Telecommunications,2019,3506,True
Hungary,Transportation,2022,4,True
Tunisia,Transportation,2024,0,True
Ghana,Transportation,2022,0,True
Japan,Transportation,2021,46,True
Japan,Transportation,2025,53,False
Egypt,Transportation,2019,0,True
Netherlands,Transportation,2021,4,True
Oman,Transportation,2024,3,True
Indonesia,Transportation,2023,0,True
Finland,Transportation,2020,11,True
Austria,Transportation,2018,0,True
Czechia,Transportation,2020,1,True
Brazil,Agriculture,2020,3,True
Brazil,Agriculture,2023,6,True
Turkey,Agriculture,2022,1,True
South Africa,Agriculture,2020,8,True
Kenya,Agriculture,2017,1,True
Italy,Agriculture,2016,2,True
Switzerland,Agriculture,2023,7,True
Belgium,Agriculture,2022,81,True
United States,All,2017,26446,True
Czechia,All,2023,102,True
Chile,All,2016,1,True
Sweden,All,2019,121,True
Slovakia,All,2022,28,True
Taiwan,All,2024,184,True
Germany,All,2024,5633,True
Tunisia,All,2018,1,True
Netherlands,All,2024,1695,True
Poland,All,2019,108,True
Egypt,All,2017,0,True
Uganda,All,2023,0,True
Poland,Biotechnology,2024,1,True
Portugal,Biotechnology,2020,5,True
United States,Biotechnology,2015,122,True
Israel,Biotechnology,2022,94,True
Malaysia,Biotechnology,2024,0,True
Hungary,Biotechnology,2017,0,True
Switzerland,Biotechnology,2024,6,True
Sweden,Biotechnology,2016,1,True
Bahrain,Biotechnology,2020,0,True
New Zealand,Community and Lifestyle,2017,0,True
Portugal,Community and Lifestyle,2020,0,True
South Korea,Community and Lifestyle,2025,5,False
Italy,Community and Lifestyle,2022,10,True
Finland,Community and Lifestyle,2022,0,True
Sweden,Community and Lifestyle,2018,10,True
Singapore,Community and Lifestyle,2016,1,True
Netherlands,Community and Lifestyle,2015,0,True
India,Community and Lifestyle,2019,45,True
Germany,Community and Lifestyle,2020,7,True
Germany,Community and Lifestyle,2024,11,True
Taiwan,Community and Lifestyle,2022,3,True
Turkey,Computer Vision,2015,0,True
Taiwan,Computer Vision,2025,13,False
Singapore,Computer Vision,2016,40,True
Singapore,Computer Vision,2024,1,True
Germany,Computer Vision,2020,171,True
Canada,Computer Vision,2022,13,True
Canada,Computer Vision,2025,0,False
France,Computer Vision,2020,108,True
Belgium,Computer Vision,2020,1,True
Latvia,Computer Vision,2021,0,True
Mexico,Consumer goods,2020,0,True
Singapore,Consumer goods,2021,157,True
Israel,Consumer goods,2018,98,True
Estonia,Consumer goods,2022,4,True
Sweden,Cyber Security,2021,2,True
Italy,Cyber Security,2024,26,True
Singapore,Cyber Security,2015,0,True
Kazakhstan,Data and analytics,2019,0,True
Finland,Data and analytics,2015,47,True
Poland,Data and analytics,2020,110,True
Argentina,Data and analytics,2024,556,True
Egypt,Data and analytics,2023,2,True
United Kingdom,Data and analytics,2025,6249,False
Croatia,Data and analytics,2019,0,True
Brazil,Education,2024,10,True
Sweden,Education,2017,3,True
Ireland,Education,2024,0,True
Ukraine,Education,2018,0,True
Austria,Education,2016,0,True
Estonia,Education,2020,0,True
Poland,Education,2020,3,True
Peru,Education,2019,1,True
Turkey,Energy and natural resources,2025,0,False
Denmark,Energy and natural resources,2020,2,True
United Arab Emirates,Energy and natural resources,2025,6,False
Singapore,Energy and natural resources,2021,157,True
Italy,Energy and natural resources,2025,1,False
China (mainland),Facial Recognition,2016,21,True
Canada,Facial Recognition,2016,0,True
Spain,Finance,2024,318,True
France,Finance,2022,322,True
Nigeria,Finance,2023,2,True
Philippines,Finance,2024,18,True
South Africa,Finance,2022,0,True
Austria,Finance,2024,128,True
South Korea,Finance,2024,26,True
Sweden,Finance,2020,3431,True
Malaysia,Finance,2023,0,True
Denmark,Finance,2021,1,True
Turkey,Gaming,2024,2,True
Chile,Gaming,2015,0,True
United States,Gaming,2018,133,True
Brazil,Gaming,2021,0,True
Cyprus,Gaming,2025,0,False
Bahrain,General purpose,2022,0,True
Georgia,General purpose,2024,0,True
Argentina,General purpose,2018,1,True
South Korea,General purpose,2015,13,True
South Korea,General purpose,2021,2415,True
South Korea,General purpose,2023,1536,True
United Arab Emirates,General purpose,2025,1109,False
Iceland,General purpose,2017,1,True
Iceland,General purpose,2025,6,False
Hungary,General purpose,2025,3,False
Lithuania,General purpose,2016,0,True
Australia,General purpose,2019,218,True
Sweden,General purpose,2016,27,True
Malta,General purpose,2021,4,True
Pakistan,General purpose,2015,0,True
Bulgaria,General purpose,2017,1,True
Ukraine,General purpose,2021,21,True
Trinidad and Tobago,Hardware,2018,0,True
Argentina,Hardware,2018,0,True
Thailand,Hardware,2024,0,True
Italy,Hardware,2016,5,True
United States,Hardware,2018,10187,True
Ukraine,Hardware,2019,2,True
Sri Lanka,Hardware,2019,1,True
Canada,Hardware,2017,80,True
Canada,Hardware,2025,279,False
Ireland,Hardware,2021,57,True
Ireland,Hardware,2023,4,True
Mexico,Hardware,2024,1,True
Belgium,Hardware,2017,2,True
Belgium,Hardware,2018,9,True
Denmark,Healthcare and Life Sciences,2019,1,True
Denmark,Healthcare and Life Sciences,2025,8,False
Kenya,Healthcare and Life Sciences,2024,1,True
Japan,Healthcare and Life Sciences,2025,66,False
Uruguay,Healthcare and Life Sciences,2024,3,True
Estonia,Healthcare and Life Sciences,2023,3,True
Nigeria,Healthcare and Life Sciences,2022,1,True
Malaysia,Healthcare and Life Sciences,2018,0,True
United States,Healthcare and Life Sciences,2019,6439,True
Argentina,Healthcare and Life Sciences,2022,5,True
Finland,Information Technology,2024,708,True
Indonesia,Information Technology,2019,5,True
United Kingdom,Information Technology,2021,1889,True
Italy,Information Technology,2025,53,False
Norway,Information Technology,2024,14,True
Mexico,Information Technology,2020,11,True
Mexico,Information Technology,2024,3,True
Portugal,Information Technology,2023,4,True
Denmark,Information Technology,2023,80,True
Uruguay,Information Technology,2020,0,True
Argentina,Information Technology,2022,9,True
Uruguay,Lending and Investments,2021,100,True
Uruguay,Lending and Investments,2025,0,False
Romania,Lending and Investments,2021,1,True
Canada,Lending and Investments,2019,11,True
Japan,Lending and Investments,2020,56,True
Israel,Manufacturing,2015,13,True
Russia,Manufacturing,2021,0,True
Lithuania,Manufacturing,2025,0,False
Poland,Manufacturing,2024,19,True
Spain,Manufacturing,2016,14,True
Latvia,Manufacturing,2021,0,True
United Arab Emirates,Manufacturing,2022,2,True
Italy,Manufacturing,2018,0,True
New Zealand,Manufacturing,2019,0,True
China (mainland),Media and Entertainment,2017,184,True
Latvia,Media and Entertainment,2019,0,True
Italy,Media and Entertainment,2024,6,True
Turkey,Media and Entertainment,2021,0,True
Turkey,Media and Entertainment,2023,2,True
Singapore,Media and Entertainment,2017,32,True
Singapore,Media and Entertainment,2022,46,True
France,Media and Entertainment,2020,4,True
Cyprus,Media and Entertainment,2021,1,True
United Kingdom,"Military, public safety and government",2017,2,True
United States,"Military, public safety and government",2021,2148,True
Saudi Arabia,"Military, public safety and government",2025,1,False
United Kingdom,"Mobile, platforms & Internet services",2015,157,True
United Kingdom,"Mobile, platforms & Internet services",2021,1116,True
Saudi Arabia,"Mobile, platforms & Internet services",2018,1,True
France,"Mobile, platforms & Internet services",2018,410,True
Israel,"Mobile, platforms & Internet services",2017,60,True
Romania,"Mobile, platforms & Internet services",2018,1,True
Tanzania,"Mobile, platforms & Internet services",2017,0,True
Slovenia,"Mobile, platforms & Internet services",2016,0,True
Chile,NLP,2021,2,True
Ireland,NLP,2019,4,True
Mexico,NLP,2025,55,False
Malaysia,NLP,2024,3,True
United Kingdom,NLP,2022,301,True
Poland,NLP,2021,4,True
France,NLP,2023,142,True
Singapore,Navigation and mapping,2016,1,True
Switzerland,Navigation and mapping,2020,1,True
Switzerland,Navigation and mapping,2022,148,True
Austria,Other,2017,3,True
Germany,Other,2024,415,True
Netherlands,Other,2021,99,True
Kenya,Other,2018,1,True
United Kingdom,Other,2017,100,True
Finland,Other,2016,497,True
Brazil,Other,2023,20,True
Egypt,Other,2019,0,True
Slovakia,Other,2022,21,True
Chile,Other,2019,1,True
Mexico,Other,2019,0,True
Jamaica,Other,2018,0,True
Ireland,Other,2017,2,True
Israel,Privacy and Security,2024,676,True
Italy,Privacy and Security,2021,2,True
Austria,Privacy and Security,2023,0,True
Switzerland,Privacy and Security,2025,228,False
France,Privacy and Security,2024,9,True
Sweden,Privacy and Security,2020,4,True
Portugal,Privacy and Security,2019,1,True
Estonia,Privacy and Security,2023,1,True
Israel,Professional services,2019,57,True
Mexico,Professional services,2019,1,True
Taiwan,Professional services,2024,11,True
Egypt,Professional services,2024,1,True
France,Professional services,2020,281,True
Argentina,Professional services,2025,0,False
Peru,Professional services,2023,0,True
South Korea,Professional services,2025,47,False
Germany,Professional services,2019,246,True
El Salvador,Professional services,2020,0,True
China (mainland),Professional services,2019,111,True
Australia,Real estate,2020,12,True
Poland,Real estate,2025,17,False
United Arab Emirates,Real estate,2019,0,True
Denmark,Real estate,2019,3,True
Spain,Real estate,2023,5,True
Saudi Arabia,Real estate,2020,0,True
Venezuela,Real estate,2021,0,True
Canada,Real estate,2016,3,True
Spain,Robotics,2020,4,True
Israel,Robotics,2015,2,True
Peru,Robotics,2021,0,True
Hungary,Robotics,2015,0,True
New Zealand,"Sales, retail, commerce, marketing",2017,0,True
Colombia,"Sales, retail, commerce, marketing",2016,0,True
Colombia,"Sales, retail, commerce, marketing",2024,1,True
Switzerland,"Sales, retail, commerce, marketing",2015,1,True
