country,field,year,disclosed_investment,complete
Slovenia,Finance,2017,0,True
New Zealand,Finance,2020,2,True
Japan,Finance,2017,7,True
Netherlands,Finance,2021,41,True
Qatar,Finance,2022,2,True
South Africa,Finance,2021,33,True
Taiwan,Finance,2016,1,True
Canada,Finance,2016,24,True
Sri Lanka,Finance,2024,0,True
Norway,Finance,2020,5,True
Norway,Finance,2022,3,True
Vietnam,Finance,2022,3,True
Switzerland,Gaming,2024,1,True
Sweden,Gaming,2025,3,False
Brazil,Gaming,2020,0,True
United States,Gaming,2022,53,True
Czechia,General purpose,2022,60,True
France,General purpose,2016,70,True
Canada,General purpose,2018,265,True
Italy,General purpose,2018,10,True
Norway,General purpose,2016,1,True
Romania,General purpose,2023,8,True
Belize,General purpose,2019,0,True
Belgium,General purpose,2018,14,True
Oman,General purpose,2025,0,False
Kazakhstan,General purpose,2024,1,True
Peru,General purpose,2018,0,True
Iceland,General purpose,2018,2,True
Taiwan,General purpose,2022,29,True
Hungary,Hardware,2016,2,True
Thailand,Hardware,2022,0,True
Slovakia,Hardware,2019,1,True
Peru,Hardware,2023,0,True
Norway,Hardware,2017,12,True
Brazil,Hardware,2019,1,True
Russia,Hardware,2015,1,True
Germany,Hardware,2023,181,True
Germany,Hardware,2025,405,False
Sri Lanka,Hardware,2018,2,True
Netherlands,Healthcare and Life Sciences,2015,0,True
Russia,Healthcare and Life Sciences,2016,3,True
Russia,Healthcare and Life Sciences,2019,2,True
Australia,Healthcare and Life Sciences,2024,6,True
Denmark,Healthcare and Life Sciences,2021,6,True
Nigeria,Healthcare and Life Sciences,2025,0,False
Belgium,Healthcare and Life Sciences,2015,2,True
Malaysia,Healthcare and Life Sciences,2020,0,True
India,Information Technology,2020,12205,True
Cyprus,Information Technology,2021,17,True
France,Information Technology,2018,100,True
Ireland,Information Technology,2017,10,True
Croatia,Information Technology,2020,1,True
Latvia,Information Technology,2022,1,True
Finland,Information Technology,2021,68,True
Bulgaria,Information Technology,2019,0,True
Israel,Information Technology,2015,114,True
Israel,Information Technology,2025,374,False
United Kingdom,Lending and Investments,2020,68,True
Turkey,Lending and Investments,2025,0,False
Kazakhstan,Lending and Investments,2022,0,True
Switzerland,Manufacturing,2024,40,True
India,Manufacturing,2024,46,True
France,Manufacturing,2018,18,True
Serbia,Media and Entertainment,2017,0,True
Australia,Media and Entertainment,2017,0,True
Australia,Media and Entertainment,2024,1791,True
Kazakhstan,Media and Entertainment,2024,0,True
India,Media and Entertainment,2020,15,True
Austria,Media and Entertainment,2018,0,True
Romania,Media and Entertainment,2022,0,True
Spain,Media and Entertainment,2021,0,True
Malaysia,Media and Entertainment,2021,2,True
Denmark,Media and Entertainment,2023,0,True
Germany,"Military, public safety and government",2024,104,True
Spain,"Military, public safety and government",2015,0,True
Turkey,"Mobile, platforms & Internet services",2020,0,True
Costa Rica,"Mobile, platforms & Internet services",2025,1,False
Belgium,"Mobile, platforms & Internet services",2023,1,True
Czechia,"Mobile, platforms & Internet services",2020,4,True
Ireland,"Mobile, platforms & Internet services",2024,1,True
United Arab Emirates,"Mobile, platforms & Internet services",2016,0,True
Colombia,"Mobile, platforms & Internet services",2016,1,True
Norway,"Mobile, platforms & Internet services",2016,1,True
Serbia,NLP,2022,0,True
Finland,NLP,2018,1,True
Finland,NLP,2021,0,True
Poland,NLP,2022,8,True
China (mainland),Navigation and mapping,2016,2,True
China (mainland),Navigation and mapping,2025,1,False
Germany,Navigation and mapping,2022,22,True
South Korea,Navigation and mapping,2021,13,True
France,Other,2016,8,True
South Africa,Other,2022,101,True
Bulgaria,Other,2018,0,True
Canada,Other,2016,15,True
Finland,Other,2024,4,True
Singapore,Other,2025,43,False
Denmark,Other,2024,5,True
Portugal,Other,2018,3,True
Egypt,Other,2025,3,False
Sweden,Other,2015,0,True
Bulgaria,Privacy and Security,2022,0,True
Japan,Privacy and Security,2019,11,True
Belgium,Privacy and Security,2025,3,False
Canada,Privacy and Security,2019,32,True
Malaysia,Privacy and Security,2023,0,True
Ireland,Privacy and Security,2019,3,True
Mexico,Privacy and Security,2023,0,True
Poland,Privacy and Security,2022,0,True
Romania,Privacy and Security,2017,0,True
Japan,Professional services,2019,22,True
Romania,Professional services,2024,1,True
South Africa,Professional services,2024,3,True
Taiwan,Professional services,2019,5,True
Ukraine,Professional services,2025,0,False
Australia,Professional services,2023,2,True
Denmark,Professional services,2018,1,True
Malaysia,Professional services,2021,1,True
Portugal,Real estate,2024,6,True
Belgium,Real estate,2018,3,True
Belgium,Real estate,2025,1,False
Israel,Real estate,2023,15,True
China (mainland),Real estate,2021,38,True
Bulgaria,Real estate,2023,0,True
United States,Robotics,2015,108,True
Switzerland,Robotics,2025,123,False
Japan,Robotics,2015,18,True
Malaysia,Robotics,2021,1,True
United Kingdom,Robotics,2017,10,True
Italy,Robotics,2019,1,True
Poland,"Sales, retail, commerce, marketing",2017,4,True
Japan,"Sales, retail, commerce, marketing",2025,27,False
Spain,"Sales, retail, commerce, marketing",2021,22,True
Vietnam,"Sales, retail, commerce, marketing",2024,0,True
Canada,"Sales, retail, commerce, marketing",2021,151,True
Netherlands,"Sales, retail, commerce, marketing",2015,2,True
United States,"Sales, retail, commerce, marketing",2025,1369,False
Malaysia,"Sales, retail, commerce, marketing",2019,0,True
Mexico,"Sales, retail, commerce, marketing",2018,0,True
Qatar,"Sales, retail, commerce, marketing",2021,4,True
Chile,"Sales, retail, commerce, marketing",2021,3,True
Chile,"Sales, retail, commerce, marketing",2025,3,False
South Korea,Semiconductor,2023,36,True
United Kingdom,Simulation,2020,0,True
Russia,Software,2019,24,True
Peru,Software,2022,0,True
Switzerland,Software,2024,135,True
Vietnam,Software,2024,3,True
Kenya,Software,2023,8,True
Ghana,Software,2021,0,True
Portugal,Software,2018,8,True
Kazakhstan,Software,2024,0,True
Colombia,Software,2023,4,True
Mauritius,Software,2022,2,True
Saudi Arabia,Software,2019,13,True
Oman,Software,2024,3,True
Norway,Software,2020,353,True
Spain,Software,2016,25,True
Spain,Software,2020,50,True
South Africa,Software,2020,34,True
Georgia,Software,2024,0,True
Israel,Software,2018,233,True
Netherlands,Software,2025,197,False
Lebanon,Software,2019,0,True
Germany,Speech Recognition,2020,1,True
Poland,Speech Recognition,2023,0,True
China (mainland),Speech Recognition,2021,5,True
France,Sports,2023,0,True
China (mainland),Sports,2020,15,True
India,Sports,2024,1,True
Saudi Arabia,Sports,2021,0,True
Norway,Sports,2024,1,True
Denmark,Sports,2022,1,True
United Kingdom,Sports,2020,4,True
France,Telecommunications,2025,1,False
Taiwan,Telecommunications,2021,0,True
United States,Telecommunications,2025,405,False
China (mainland),Telecommunications,2016,11,True
South Korea,Transportation,2018,7,True
South Korea,Transportation,2020,9,True
Sweden,Transportation,2024,5,True
Malaysia,Transportation,2017,0,True
Bangladesh,Transportation,2019,0,True
Spain,Transportation,2016,0,True
Hungary,Transportation,2019,0,True
Uzbekistan,Transportation,2024,0,True
Slovakia,Transportation,2017,6,True
Denmark,Transportation,2016,0,True
United Kingdom,Transportation,2024,371,True
France,Transportation,2019,45,True
Spain,Agriculture,2023,2,True
China (mainland),Agriculture,2017,12,True
Israel,Agriculture,2022,10,True
Australia,Agriculture,2022,12,True
Australia,Agriculture,2025,8,False
Saudi Arabia,Agriculture,2020,4,True
United States,Agriculture,2020,57,True
Portugal,All,2015,20,True
Ghana,All,2021,2,True
New Zealand,All,2022,36,True
Finland,All,2021,232,True
Belize,All,2019,0,True
Bosnia and Herzegovina,All,2016,0,True
South Korea,All,2020,371,True
Japan,All,2018,639,True
Croatia,All,2022,2,True
China (mainland),All,2022,8171,True
Sweden,All,2025,3962,False
Lebanon,All,2021,0,True
Switzerland,All,2024,446,True
Singapore,Biotechnology,2017,0,True
Singapore,Biotechnology,2023,21,True
Poland,Biotechnology,2017,2,True
Indonesia,Biotechnology,2023,3,True
Spain,Biotechnology,2019,1,True
Israel,Biotechnology,2023,8,True
Switzerland,Biotechnology,2016,0,True
Ireland,Community and Lifestyle,2017,1,True
Sri Lanka,Community and Lifestyle,2023,0,True
India,Community and Lifestyle,2022,827,True
Israel,Community and Lifestyle,2018,20,True
Israel,Community and Lifestyle,2021,13,True
France,Community and Lifestyle,2019,2,True
Brazil,Community and Lifestyle,2021,1,True
Brazil,Community and Lifestyle,2025,1,False
Saudi Arabia,Community and Lifestyle,2021,9,True
Switzerland,Computer Vision,2021,3,True
Germany,Computer Vision,2016,6,True
United Kingdom,Computer Vision,2017,10,True
Turkey,Computer Vision,2015,0,True
Netherlands,Computer Vision,2025,3,False
Japan,Computer Vision,2019,71,True
Hungary,Computer Vision,2015,0,True
Israel,Computer Vision,2021,367,True
India,Computer Vision,2023,1,True
Malaysia,Consumer goods,2018,0,True
Canada,Consumer goods,2019,67,True
Brazil,Consumer goods,2020,3,True
Singapore,Consumer goods,2022,24,True
Portugal,Consumer goods,2017,1,True
Finland,Consumer goods,2019,1,True
China (mainland),Consumer goods,2016,77,True
Denmark,Consumer goods,2019,1,True
Spain,Consumer goods,2024,0,True
Ireland,Cyber Security,2020,0,True
Canada,Cyber Security,2018,4,True
Spain,Cyber Security,2025,10,False
Italy,Data and analytics,2019,5,True
Slovakia,Data and analytics,2025,9,False
Finland,Data and analytics,2016,4,True
Finland,Data and analytics,2019,241,True
Spain,Data and analytics,2016,39,True
Belgium,Data and analytics,2015,21,True
Oman,Data and analytics,2025,1,False
Sri Lanka,Data and analytics,2025,1,False
South Africa,Data and analytics,2025,3,False
Portugal,Data and analytics,2023,13,True
United Kingdom,Education,2018,20,True
Israel,Energy and natural resources,2018,8,True
Netherlands,Energy and natural resources,2020,2,True
United States,Energy and natural resources,2021,402,True
United States,Energy and natural resources,2023,363,True
Saudi Arabia,Energy and natural resources,2025,2,False
Norway,Energy and natural resources,2021,1,True
Hungary,Energy and natural resources,2020,0,True
Chile,Energy and natural resources,2021,1,True
Portugal,Energy and natural resources,2021,0,True
France,Finance,2022,30,True
Iceland,Finance,2022,3,True
United Arab Emirates,Finance,2023,173,True
Italy,Finance,2018,2,True
United Kingdom,Finance,2023,440,True
Luxembourg,Finance,2018,1,True
Estonia,Finance,2024,2,True
Italy,Gaming,2025,0,False
Estonia,Gaming,2024,0,True
India,Gaming,2024,6,True
United States,Gaming,2020,36,True
Thailand,General purpose,2021,5,True
France,General purpose,2021,463,True
Chile,General purpose,2019,6,True
United Arab Emirates,General purpose,2016,0,True
United States,General purpose,2017,5780,True
Singapore,General purpose,2018,310,True
Saudi Arabia,General purpose,2017,2,True
India,General purpose,2017,25,True
Mexico,General purpose,2025,5,False
Lithuania,General purpose,2017,0,True
Croatia,General purpose,2023,195,True
Côte d'Ivoire,General purpose,2024,0,True
Austria,General purpose,2025,36,False
France,Hardware,2015,17,True
France,Hardware,2023,89,True
Belgium,Hardware,2018,8,True
Belgium,Hardware,2020,1,True
South Africa,Hardware,2017,0,True
Denmark,Hardware,2018,154,True
India,Hardware,2015,380,True
Lithuania,Hardware,2018,0,True
Taiwan,Hardware,2019,5,True
Croatia,Hardware,2019,0,True
China (mainland),Hardware,2020,534,True
Ghana,Hardware,2017,0,True
Turkey,Healthcare and Life Sciences,2021,1,True
Turkey,Healthcare and Life Sciences,2023,2,True
Italy,Healthcare and Life Sciences,2018,4,True
Austria,Healthcare and Life Sciences,2024,2,True
Singapore,Healthcare and Life Sciences,2015,8,True
United Kingdom,Healthcare and Life Sciences,2023,117,True
Argentina,Healthcare and Life Sciences,2022,5,True
Argentina,Healthcare and Life Sciences,2025,0,False
Lithuania,Healthcare and Life Sciences,2019,1,True
Sweden,Healthcare and Life Sciences,2022,5,True
South Africa,Healthcare and Life Sciences,2025,0,False
Italy,Information Technology,2015,2,True
Italy,Information Technology,2023,14,True
Austria,Information Technology,2024,22,True
Iran,Information Technology,2020,0,True
Switzerland,Information Technology,2022,185,True
Iceland,Information Technology,2023,0,True
Iceland,Information Technology,2024,2,True
Belgium,Information Technology,2021,70,True
Latvia,Information Technology,2016,0,True
Czechia,Information Technology,2022,59,True
Pakistan,Information Technology,2021,3,True
Lithuania,Information Technology,2021,0,True
Netherlands,Information Technology,2020,36,True
Belgium,Lending and Investments,2020,4,True
Netherlands,Lending and Investments,2018,0,True
India,Lending and Investments,2020,6,True
Canada,Lending and Investments,2016,5,True
Spain,Manufacturing,2023,4,True
Thailand,Manufacturing,2018,0,True
Canada,Manufacturing,2016,255,True
South Korea,Manufacturing,2018,2,True
South Africa,Manufacturing,2020,3,True
Italy,Manufacturing,2015,0,True
Italy,Manufacturing,2020,2,True
Norway,Manufacturing,2023,5,True
Portugal,Manufacturing,2022,2,True
Israel,Media and Entertainment,2024,23,True
Portugal,Media and Entertainment,2020,0,True
Georgia,Media and Entertainment,2025,0,False
Turkey,Media and Entertainment,2019,0,True
Egypt,"Mobile, platforms & Internet services",2022,0,True
South Africa,"Mobile, platforms & Internet services",2022,0,True
China (mainland),"Mobile, platforms & Internet services",2021,639,True
Kazakhstan,"Mobile, platforms & Internet services",2019,0,True
United States,"Mobile, platforms & Internet services",2023,3226,True
Thailand,"Mobile, platforms & Internet services",2015,0,True
Bosnia and Herzegovina,"Mobile, platforms & Internet services",2020,0,True
Iceland,"Mobile, platforms & Internet services",2019,0,True
Lebanon,"Mobile, platforms & Internet services",2016,0,True
Finland,"Mobile, platforms & Internet services",2023,2,True
United Kingdom,"Mobile, platforms & Internet services",2019,207,True
Cyprus,"Mobile, platforms & Internet services",2022,1,True
Indonesia,"Mobile, platforms & Internet services",2021,75,True
Austria,"Mobile, platforms & Internet services",2024,0,True
Tanzania,"Mobile, platforms & Internet services",2017,0,True
Iceland,NLP,2020,0,True
Turkey,NLP,2020,0,True
United Kingdom,NLP,2015,2,True
Austria,NLP,2016,0,True
Singapore,NLP,2015,0,True
Australia,Navigation and mapping,2017,1,True
United States,Navigation and mapping,2023,64,True
Sweden,Navigation and mapping,2015,0,True
Colombia,Other,2017,0,True
Colombia,Other,2024,0,True
United Arab Emirates,Other,2021,3,True
Norway,Other,2019,0,True
India,Other,2020,14,True
Egypt,Other,2016,0,True
Tunisia,Other,2022,0,True
Nigeria,Privacy and Security,2020,1,True
Netherlands,Privacy and Security,2020,5,True
Estonia,Professional services,2025,3,False
Czechia,Professional services,2020,2,True
Czechia,Professional services,2025,1,False
Hungary,Professional services,2023,4,True
Spain,Professional services,2018,3,True
Kuwait,Professional services,2023,4,True
Kazakhstan,Professional services,2024,1,True
France,Professional services,2022,20,True
France,Professional services,2024,173,True
Estonia,Real estate,2019,1,True
Austria,Real estate,2023,2,True
India,Real estate,2018,0,True
China (mainland),Real estate,2025,3,False
Turkey,Real estate,2022,0,True
South Africa,Real estate,2023,1,True
Hungary,Real estate,2023,3,True
France,Robotics,2025,23,False
Netherlands,Robotics,2021,96,True
United Arab Emirates,Robotics,2025,2,False
Chile,Robotics,2021,0,True
Malaysia,Robotics,2025,58,False
Canada,Robotics,2025,11,False
Switzerland,"Sales, retail, commerce, marketing",2024,3,True
Kenya,"Sales, retail, commerce, marketing",2023,1,True
Australia,"Sales, retail, commerce, marketing",2025,33,False
Estonia,"Sales, retail, commerce, marketing",2022,0,True
Norway,"Sales, retail, commerce, marketing",2025,2,False
Austria,"Sales, retail, commerce, marketing",2025,3,False
France,"Sales, retail, commerce, marketing",2018,45,True
United States,"Sales, retail, commerce, marketing",2023,1169,True
Latvia,"Sales, retail, commerce, marketing",2019,0,True
Malaysia,"Sales, retail, commerce, marketing",2020,4,True
Germany,"Sales, retail, commerce, marketing",2015,7,True
India,"Sales, retail, commerce, marketing",2015,105,True
Switzerland,Semiconductor,2022,4,True
Japan,Semiconductor,2017,1,True
Japan,Semiconductor,2020,4,True
France,Simulation,2017,1,True
Azerbaijan,Simulation,2022,0,True
Russia,Software,2018,6,True
Pakistan,Software,2020,0,True
Belize,Software,2022,20,True
Serbia,Software,2021,0,True
Egypt,Software,2024,1,True
Japan,Software,2022,137,True
Sri Lanka,Software,2023,4,True
Colombia,Software,2018,0,True
Saudi Arabia,Software,2023,1202,True
Saudi Arabia,Software,2025,684,False
United States,Software,2022,23962,True
Denmark,Software,2021,48,True
Netherlands,Software,2017,111,True
Luxembourg,Software,2018,7,True
China (mainland),Sports,2016,0,True
India,Sports,2019,0,True
Netherlands,Sports,2020,0,True
Poland,Sports,2021,3,True
Brazil,Telecommunications,2020,50,True
India,Telecommunications,2018,1,True
Singapore,Telecommunications,2021,1,True
Israel,Transportation,2018,61,True
Japan,Transportation,2015,1,True
Iceland,Transportation,2024,0,True
Turkey,Transportation,2018,0,True
United Arab Emirates,Transportation,2018,1,True
Nigeria,Transportation,2020,0,True
Switzerland,Transportation,2018,11,True
Finland,Transportation,2015,22,True
Colombia,Transportation,2023,8,True
United Kingdom,Transportation,2023,122,True
Switzerland,Agriculture,2018,4,True
Switzerland,Agriculture,2024,0,True
Netherlands,Agriculture,2024,1,True
Denmark,Agriculture,2024,2,True
United States,Agriculture,2022,256,True
Ghana,All,2023,0,True
Spain,All,2017,115,True
Colombia,All,2021,31,True
France,All,2017,394,True
Finland,All,2018,14,True
Italy,All,2023,82,True
Denmark,All,2019,54,True
Denmark,All,2021,178,True
Denmark,All,2023,178,True
Jordan,All,2021,0,True
Ireland,All,2025,238,False
United Arab Emirates,All,2025,568,False
Pakistan,All,2021,3,True
Australia,All,2018,82,True
South Korea,All,2025,936,False
Chile,All,2024,20,True
India,All,2016,89,True
India,All,2021,1221,True
Czechia,All,2021,158,True
Nigeria,All,2017,0,True
Bulgaria,All,2019,2,True
Brazil,All,2018,28,True
Iceland,All,2016,4,True
United States,All,2015,13165,True
United States,All,2016,12592,True
New Zealand,Biotechnology,2016,1,True
Chile,Biotechnology,2021,0,True
Poland,Biotechnology,2018,1,True
South Korea,Biotechnology,2021,34,True
Denmark,Biotechnology,2023,7,True
Israel,Biotechnology,2015,10,True
Sweden,Community and Lifestyle,2017,9,True
United Arab Emirates,Community and Lifestyle,2023,5,True
Chile,Community and Lifestyle,2020,7,True
Germany,Community and Lifestyle,2020,7,True
Norway,Computer Vision,2021,1,True
Turkey,Computer Vision,2022,1,True
Malaysia,Computer Vision,2021,20,True
United States,Computer Vision,2024,797,True
India,Consumer goods,2021,7,True
Canada,Consumer goods,2018,14,True
Portugal,Consumer goods,2019,3,True
Norway,Consumer goods,2015,0,True
Switzerland,Consumer goods,2020,15,True
Ukraine,Consumer goods,2016,0,True
Australia,Consumer goods,2017,1,True
Sri Lanka,Cyber Security,2024,0,True
Spain,Cyber Security,2024,1,True
Israel,Cyber Security,2018,1,True
Israel,Cyber Security,2019,28,True
Singapore,Data and analytics,2020,535,True
Egypt,Data and analytics,2017,0,True
Iran,Data and analytics,2020,0,True
Qatar,Data and analytics,2025,0,False
Canada,Data and analytics,2020,552,True
New Zealand,Data and analytics,2016,1,True
New Zealand,Data and analytics,2020,9,True
Jordan,Data and analytics,2020,0,True
Jordan,Data and analytics,2021,0,True
Chile,Data and analytics,2015,0,True
Chile,Data and analytics,2022,9,True
Sri Lanka,Data and analytics,2021,0,True
Peru,Data and analytics,2022,0,True
United Arab Emirates,Data and analytics,2024,1710,True
United States,Education,2016,75,True
Netherlands,Education,2020,1,True
Romania,Education,2017,0,True
Brazil,Education,2021,1,True
Bulgaria,Education,2021,0,True
Italy,Education,2025,0,False
United Arab Emirates,Education,2022,1,True
Australia,Energy and natural resources,2019,3,True
Netherlands,Energy and natural resources,2018,0,True
Netherlands,Energy and natural resources,2023,12,True
United States,Energy and natural resources,2015,75,True
Chile,Energy and natural resources,2023,0,True
Ireland,Energy and natural resources,2017,1,True
Cyprus,Facial Recognition,2019,1,True
India,Finance,2021,241,True
Brazil,Finance,2015,0,True
China (mainland),Finance,2015,30,True
Colombia,Finance,2021,1,True
Netherlands,Finance,2015,0,True
Czechia,Finance,2017,2,True
Czechia,Finance,2024,0,True
Taiwan,Finance,2019,5,True
Italy,Finance,2019,1,True
Israel,Finance,2024,422,True
Luxembourg,Finance,2020,2,True
Australia,Gaming,2018,1,True
Finland,Gaming,2017,0,True
United Kingdom,Gaming,2024,9,True
United States,Gaming,2025,19,False
Poland,Gaming,2017,0,True
Malta,General purpose,2025,0,False
Canada,General purpose,2016,44,True
United States,General purpose,2024,34027,True
Ireland,General purpose,2022,134,True
Ireland,General purpose,2023,117,True
Sri Lanka,General purpose,2018,2,True
Croatia,General purpose,2019,0,True
Australia,General purpose,2025,427,False
Bahrain,General purpose,2020,0,True
Bulgaria,General purpose,2021,1,True
Kazakhstan,General purpose,2025,0,False
Russia,General purpose,2016,1,True
Philippines,General purpose,2025,96,False
South Korea,General purpose,2019,262,True
Spain,General purpose,2024,62,True
Iceland,General purpose,2020,10,True
Taiwan,General purpose,2023,34,True
Georgia,Hardware,2024,0,True
Slovakia,Hardware,2023,1,True
Taiwan,Hardware,2020,20,True
Argentina,Hardware,2020,0,True
United States,Hardware,2023,3486,True
Poland,Hardware,2017,3,True
Norway,Hardware,2021,49,True
Turkey,Hardware,2018,1,True
China (mainland),Hardware,2024,627,True
United Kingdom,Hardware,2021,112,True
Australia,Hardware,2022,56,True
South Korea,Healthcare and Life Sciences,2023,59,True
Brazil,Healthcare and Life Sciences,2021,7,True
Germany,Healthcare and Life Sciences,2021,63,True
Germany,Healthcare and Life Sciences,2022,88,True
Canada,Healthcare and Life Sciences,2021,146,True
Hungary,Healthcare and Life Sciences,2018,0,True
Hungary,Healthcare and Life Sciences,2019,2,True
Sweden,Healthcare and Life Sciences,2015,7,True
Israel,Healthcare and Life Sciences,2020,97,True
India,Information Technology,2015,380,True
Japan,Information Technology,2024,130,True
China (mainland),Information Technology,2019,348,True
Poland,Information Technology,2016,10,True
Czechia,Information Technology,2021,22,True
Egypt,Information Technology,2019,0,True
Norway,Information Technology,2017,13,True
Sweden,Information Technology,2023,7,True
Russia,Information Technology,2024,0,True
Hungary,Information Technology,2023,4,True
Portugal,Information Technology,2022,5,True
Kenya,Lending and Investments,2018,0,True
India,Lending and Investments,2025,23,False
Uruguay,Lending and Investments,2023,0,True
Nigeria,Lending and Investments,2022,0,True
Austria,Manufacturing,2018,0,True
Czechia,Manufacturing,2024,1,True
New Zealand,Manufacturing,2022,0,True
Canada,Manufacturing,2020,50,True
Singapore,Manufacturing,2019,1,True
United Kingdom,Media and Entertainment,2019,66,True
Sweden,Media and Entertainment,2021,247,True
United Arab Emirates,Media and Entertainment,2019,0,True
Belgium,"Military, public safety and government",2020,1,True
Spain,"Military, public safety and government",2017,2,True
Luxembourg,"Mobile, platforms & Internet services",2016,0,True
Switzerland,"Mobile, platforms & Internet services",2023,20,True
China (mainland),"Mobile, platforms & Internet services",2018,863,True
Singapore,"Mobile, platforms & Internet services",2022,326,True
Pakistan,"Mobile, platforms & Internet services",2024,0,True
United Kingdom,"Mobile, platforms & Internet services",2016,304,True
Greece,"Mobile, platforms & Internet services",2015,0,True
Slovakia,"Mobile, platforms & Internet services",2019,1,True
Peru,"Mobile, platforms & Internet services",2015,0,True
Germany,"Mobile, platforms & Internet services",2016,6,True
Albania,"Mobile, platforms & Internet services",2016,2,True
Spain,NLP,2023,3,True
Australia,NLP,2022,3,True
Chile,NLP,2020,1,True
Sweden,NLP,2021,3,True
Ireland,Navigation and mapping,2018,0,True
Chile,Other,2018,6,True
Latvia,Other,2024,1,True
Finland,Other,2022,3,True
Austria,Other,2018,0,True
Belgium,Other,2021,28,True
Iceland,Other,2024,1,True
Czechia,Other,2020,4,True
Egypt,Other,2022,0,True
Spain,Privacy and Security,2017,18,True
Germany,Privacy and Security,2020,40,True
United States,Privacy and Security,2020,1035,True
United States,Privacy and Security,2025,5463,False
United Kingdom,Privacy and Security,2021,199,True
Lebanon,Professional services,2017,0,True
Romania,Professional services,2017,0,True
Hungary,Professional services,2018,0,True
Brazil,Professional services,2024,23,True
Poland,Professional services,2020,4,True
Chile,Professional services,2015,0,True
Singapore,Professional services,2018,145,True
Australia,Real estate,2020,5,True
United States,Real estate,2021,2634,True
Saudi Arabia,Real estate,2019,1,True
Japan,Real estate,2021,1,True
Mexico,Real estate,2021,2,True
Switzerland,Real estate,2025,25,False
Austria,Real estate,2021,6,True
Netherlands,Real estate,2019,11,True
Chile,Real estate,2018,0,True
Sweden,Real estate,2022,2,True
Sweden,Real estate,2025,21,False
Canada,Real estate,2022,15,True
Denmark,Robotics,2019,15,True
Singapore,Robotics,2015,5,True
Belgium,Robotics,2024,14,True
Peru,Robotics,2021,0,True
Australia,Robotics,2025,2,False
Kuwait,Robotics,2023,4,True
Australia,"Sales, retail, commerce, marketing",2016,26,True
Pakistan,"Sales, retail, commerce, marketing",2021,3,True
Canada,"Sales, retail, commerce, marketing",2020,101,True
South Korea,"Sales, retail, commerce, marketing",2022,9,True
France,"Sales, retail, commerce, marketing",2019,39,True
Hungary,"Sales, retail, commerce, marketing",2019,1,True
Serbia,"Sales, retail, commerce, marketing",2022,4,True
Singapore,"Sales, retail, commerce, marketing",2018,79,True
Chile,"Sales, retail, commerce, marketing",2022,1,True
Singapore,Semiconductor,2023,2,True
China (mainland),Simulation,2017,4,True
Belgium,Software,2024,221,True
India,Software,2022,2184,True
France,Software,2017,190,True
Switzerland,Software,2021,182,True
Iceland,Software,2024,5,True
South Korea,Software,2016,57,True
Kenya,Software,2019,0,True
Ghana,Software,2022,2,True
Portugal,Software,2025,22,False
Kazakhstan,Software,2023,3,True
Chile,Software,2016,0,True
United States,Software,2017,6622,True
Indonesia,Software,2025,2,False
Slovakia,Software,2024,5,True
Saudi Arabia,Speech Recognition,2022,0,True
South Africa,Speech Recognition,2022,1,True
Netherlands,Speech Recognition,2019,1,True
India,Speech Recognition,2022,41,True
United States,Sports,2022,121,True
Romania,Sports,2023,0,True
Ireland,Sports,2025,2,False
Japan,Sports,2023,1,True
Vietnam,Sports,2023,0,True
Poland,Sports,2015,0,True
Denmark,Sports,2015,2,True
United Kingdom,Sports,2022,39,True
Mexico,Transportation,2025,1,False
Israel,Transportation,2015,4,True
Sweden,Transportation,2020,8,True
Canada,Transportation,2023,91,True
Austria,Transportation,2017,1,True
United Arab Emirates,Transportation,2025,42,False
Egypt,Transportation,2021,0,True
Russia,Transportation,2015,1,True
Italy,Transportation,2023,3,True
Germany,Transportation,2019,18,True
Belgium,Transportation,2023,2,True
France,Transportation,2016,6,True
Brazil,Agriculture,2017,2,True
Brazil,Agriculture,2021,3,True
Japan,Agriculture,2020,2,True
Peru,Agriculture,2022,0,True
Germany,Agriculture,2020,21,True
Nigeria,Agriculture,2019,0,True
South Korea,Agriculture,2022,1,True
Tunisia,Agriculture,2019,0,True
Spain,All,2023,321,True
Indonesia,All,2017,5,True
Uganda,All,2022,0,True
South Africa,All,2015,18,True
South Africa,All,2022,126,True
Ukraine,All,2024,3,True
Argentina,All,2024,6,True
Japan,All,2016,790,True
Japan,All,2024,925,True
Sweden,Biotechnology,2020,3,True
Brazil,Biotechnology,2018,2,True
India,Biotechnology,2023,2,True
Spain,Biotechnology,2017,20,True
United Kingdom,Biotechnology,2019,22,True
Peru,Biotechnology,2021,0,True
Argentina,Biotechnology,2020,2,True
Kenya,Community and Lifestyle,2023,0,True
China (mainland),Community and Lifestyle,2018,88,True
New Zealand,Community and Lifestyle,2020,4,True
Spain,Community and Lifestyle,2016,1,True
Spain,Community and Lifestyle,2024,0,True
Australia,Community and Lifestyle,2017,1,True
United States,Community and Lifestyle,2019,626,True
Hungary,Computer Vision,2018,4,True
Estonia,Computer Vision,2024,0,True
South Korea,Consumer goods,2020,10,True
Finland,Consumer goods,2018,0,True
Saudi Arabia,Consumer goods,2022,0,True
United States,Consumer goods,2017,937,True
United Kingdom,Consumer goods,2015,12,True
Czechia,Consumer goods,2016,1,True
New Zealand,Consumer goods,2021,1,True
United States,Cyber Security,2018,2575,True
